decile3,decile1,sex,cluster,lsat,ugpa,zfygpa,bar1,bar1_yr,bar2,bar2_yr,fulltime,fam_inc,age,parttime,pass_bar,bar,tier,index604,indxgrp
5.0,8.0,1,1,45.0,3.0,0.64,P,7,P,94,1,3,61,0,1.0,a Passed 1st time,4,852.6315549999999,g 700+
10.0,10.0,1,6,35.0,2.6,2.4,P,2,P,94,1,3,60,0,1.0,a Passed 1st time,1,654.736825,f 640-700
1.0,3.0,1,4,36.0,3.4,-0.6,P,7,P,94,1,2,60,0,1.0,a Passed 1st time,5,750.526298,g 700+
8.0,9.0,0,1,46.0,3.8,1.27,P,2,P,94,1,4,67,0,1.0,a Passed 1st time,4,948.421028,g 700+
8.0,9.0,1,4,39.0,3.1,1.02,P,7,P,95,2,3,52,1,1.0,a Passed 1st time,5,767.894717,g 700+
5.0,4.0,0,3,39.0,2.7,-0.39,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,3,727.894717,g 700+
10.0,10.0,0,4,39.0,4.0,2.88,P,7,P,94,1,3,59,0,1.0,a Passed 1st time,5,857.8947169999999,g 700+
7.0,6.0,0,3,38.0,3.0,0.14,P,7,P,94,1,3,61,0,1.0,a Passed 1st time,3,742.105244,g 700+
10.0,10.0,1,1,32.0,4.0,1.68,P,7,P,94,1,3,52,0,1.0,a Passed 1st time,4,747.368406,g 700+
4.0,7.0,1,3,39.0,3.5,0.34,P,7,P,94,1,4,51,0,1.0,a Passed 1st time,3,807.8947169999999,g 700+
1.0,2.0,1,4,29.0,2.5,-1.08,P,7,P,94,1,3,57,0,1.0,a Passed 1st time,5,549.9999869999999,d 520-580
8.0,9.0,1,4,48.0,3.5,1.02,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,5,949.999974,g 700+
2.0,1.0,0,3,27.0,2.5,-1.4,P,7,P,94,1,3,61,0,1.0,a Passed 1st time,3,518.4210410000001,c 460-520
1.0,2.0,1,1,31.0,2.6,-1.04,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,4,591.578933,e 580-640
10.0,10.0,0,1,45.0,3.7,1.51,P,7,P,94,1,3,61,0,1.0,a Passed 1st time,4,922.631555,g 700+
5.0,4.0,1,5,36.0,3.9,-0.45,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,6,800.526298,g 700+
2.0,2.0,1,1,34.0,2.5,-1.14,F,7,F,94,1,4,60,0,0.0,c Failed,4,628.9473519999999,e 580-640
2.0,6.0,1,1,35.0,3.8,0.27,P,7,P,95,1,3,60,0,1.0,a Passed 1st time,4,774.736825,g 700+
4.0,3.0,1,4,35.0,3.1,-0.67,P,7,P,94,1,3,61,0,1.0,a Passed 1st time,5,704.736825,g 700+
1.0,1.0,1,5,36.0,3.9,-1.5,P,7,P,94,1,4,60,0,1.0,a Passed 1st time,6,800.526298,g 700+
2.0,2.0,1,1,42.0,3.3,-1.06,P,7,P,94,1,3,60,0,1.0,a Passed 1st time,4,835.2631359999999,g 700+
10.0,10.0,0,1,30.0,3.7,1.66,P,7,P,94,1,3,59,0,1.0,a Passed 1st time,4,685.78946,f 640-700
10.0,8.0,0,4,25.0,3.7,0.6,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,5,606.842095,e 580-640
2.0,4.0,0,4,31.5,3.6,-0.37,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,5,699.4736695,f 640-700
8.0,8.0,1,1,40.0,3.2,0.82,P,7,P,94,1,5,61,0,1.0,a Passed 1st time,4,793.6841900000001,g 700+
5.0,3.0,0,3,40.0,3.5,-0.64,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,3,823.68419,g 700+
7.0,7.0,0,1,41.0,3.7,0.44,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,4,859.473663,g 700+
7.0,9.0,0,3,34.0,3.5,0.96,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,3,728.9473519999999,g 700+
6.0,7.0,1,1,39.0,3.4,0.45,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,4,797.8947169999999,g 700+
4.0,4.0,0,4,38.0,3.0,-0.45,P,7,P,94,1,5,60,0,1.0,a Passed 1st time,5,742.105244,g 700+
5.0,5.0,1,5,41.0,3.2,-0.16,F,7,P,95,1,5,59,0,1.0,b Passed 2nd time,6,809.473663,g 700+
6.0,8.0,0,2,31.0,3.3,0.55,P,7,P,94,1,4,57,0,1.0,a Passed 1st time,2,661.578933,f 640-700
4.0,5.0,0,5,42.0,3.6,-0.03,P,2,P,94,1,3,66,0,1.0,a Passed 1st time,6,865.263136,g 700+
8.0,6.0,0,3,34.0,3.2,0.16,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,3,698.947352,f 640-700
5.0,5.0,1,3,37.0,3.0,-0.11,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,3,726.315771,g 700+
4.0,8.0,1,3,42.0,2.3,0.81,P,7,P,94,1,3,60,0,1.0,a Passed 1st time,3,735.2631359999999,g 700+
6.0,7.0,1,3,36.0,3.3,0.45,P,7,P,95,1,4,62,0,1.0,a Passed 1st time,3,740.526298,g 700+
8.0,9.0,1,3,42.0,3.0,1.05,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,3,805.263136,g 700+
10.0,10.0,1,3,40.0,3.5,1.34,P,7,P,95,2,2,48,1,1.0,a Passed 1st time,3,823.68419,g 700+
9.0,8.0,0,6,29.0,2.8,0.81,P,7,P,94,1,2,60,0,1.0,a Passed 1st time,1,579.9999869999999,d 520-580
4.0,4.0,1,3,36.0,3.3,-0.39,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,3,740.526298,g 700+
9.0,9.0,1,3,36.0,2.9,0.91,P,7,P,94,1,4,42,0,1.0,a Passed 1st time,3,700.526298,g 700+
4.0,4.0,0,3,37.0,2.7,-0.33,P,2,P,95,1,4,59,0,1.0,a Passed 1st time,3,696.315771,f 640-700
5.0,7.0,0,1,35.0,3.1,0.31,P,7,P,94,1,5,58,0,1.0,a Passed 1st time,4,704.736825,g 700+
3.0,4.0,0,1,41.0,3.4,-0.38,F,7,F,94,1,3,58,0,0.0,c Failed,4,829.473663,g 700+
5.0,6.0,1,3,42.0,2.9,0.1,P,7,P,94,1,4,57,0,1.0,a Passed 1st time,3,795.2631359999999,g 700+
3.0,2.0,0,5,33.5,3.4,-0.91,P,7,P,94,1,4,60,0,1.0,a Passed 1st time,6,711.0526155,g 700+
2.0,2.0,0,1,32.0,3.0,-1.02,F,2,P,94,1,3,65,0,1.0,b Passed 2nd time,4,647.368406,f 640-700
5.0,6.0,0,2,36.0,3.7,0.12,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,2,780.526298,g 700+
3.0,2.0,0,5,34.5,3.3,-0.95,P,7,P,94,1,4,60,0,1.0,a Passed 1st time,6,716.8420884999999,g 700+
2.0,2.0,0,2,32.0,3.0,-1.26,P,7,P,95,1,4,62,0,1.0,a Passed 1st time,2,647.368406,f 640-700
9.0,9.0,1,2,35.0,3.3,0.91,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,2,724.736825,g 700+
8.0,10.0,0,1,34.0,2.9,1.31,P,7,P,94,1,2,61,0,1.0,a Passed 1st time,4,668.9473519999999,f 640-700
3.0,6.0,1,6,27.0,3.1,0.05,P,7,P,94,1,2,61,0,1.0,a Passed 1st time,1,578.4210410000001,d 520-580
9.0,7.0,1,4,39.0,3.4,0.36,P,7,P,95,2,3,54,1,1.0,a Passed 1st time,5,797.8947169999999,g 700+
2.0,4.0,1,4,40.0,3.5,-0.44,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,5,823.68419,g 700+
2.0,3.0,1,2,32.0,3.9,-0.88,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,2,737.3684059999999,g 700+
2.0,3.0,0,1,42.0,3.3,-0.64,P,7,P,94,1,3,51,0,1.0,a Passed 1st time,4,835.2631359999999,g 700+
10.0,8.0,1,4,35.0,2.9,0.8,P,2,P,95,2,3,54,1,1.0,a Passed 1st time,5,684.736825,f 640-700
5.0,4.0,0,6,34.0,2.9,-0.36,P,7,P,94,1,2,63,0,1.0,a Passed 1st time,1,668.9473519999999,f 640-700
1.0,2.0,0,1,38.0,3.2,-0.98,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,4,762.105244,g 700+
2.0,2.0,1,1,42.0,3.4,-0.84,P,7,P,94,1,3,56,0,1.0,a Passed 1st time,4,845.2631359999999,g 700+
4.0,4.0,0,1,38.0,3.6,-0.4,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,4,802.105244,g 700+
3.0,3.0,0,1,37.0,3.2,-0.65,P,7,P,94,1,3,61,0,1.0,a Passed 1st time,4,746.315771,g 700+
7.0,5.0,1,5,41.0,3.8,0.02,P,7,P,94,1,3,60,0,1.0,a Passed 1st time,6,869.473663,g 700+
8.0,9.0,0,3,32.0,3.1,1.04,P,2,P,95,1,3,66,0,1.0,a Passed 1st time,3,657.368406,f 640-700
1.0,2.0,0,3,29.0,2.8,-1.13,F,7,F,94,1,4,48,0,0.0,c Failed,3,579.9999869999999,d 520-580
9.0,7.0,1,1,40.0,3.4,0.55,P,7,P,94,1,4,58,0,1.0,a Passed 1st time,4,813.68419,g 700+
5.0,8.0,1,3,37.0,2.7,0.61,P,7,P,94,1,3,60,0,1.0,a Passed 1st time,3,696.315771,f 640-700
4.0,4.0,0,5,44.0,3.4,-0.31,P,7,P,94,1,3,63,0,1.0,a Passed 1st time,6,876.842082,g 700+
9.0,9.0,1,2,41.0,3.4,0.89,P,7,P,94,1,4,51,0,1.0,a Passed 1st time,2,829.473663,g 700+
7.0,7.0,0,5,42.0,3.8,0.35,P,7,P,94,1,4,55,0,1.0,a Passed 1st time,6,885.2631359999999,g 700+
8.0,7.0,0,4,41.5,3.2,0.43,P,7,P,94,1,3,58,0,1.0,a Passed 1st time,5,817.3683995,g 700+
2.0,2.0,1,3,41.0,2.9,-1.13,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,3,779.473663,g 700+
7.0,4.0,1,4,40.0,3.8,-0.41,P,7,P,94,1,3,60,0,1.0,a Passed 1st time,5,853.68419,g 700+
3.0,10.0,0,4,28.3,3.1,1.54,P,7,P,94,1,2,55,0,1.0,a Passed 1st time,5,598.9473559,e 580-640
2.0,6.0,1,3,38.0,2.8,0.2,P,7,P,94,1,5,61,0,1.0,a Passed 1st time,3,722.105244,g 700+
4.0,5.0,0,1,40.0,3.2,-0.18,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,4,793.6841900000001,g 700+
5.0,6.0,1,1,25.0,2.6,0.26,P,7,P,94,1,3,55,0,1.0,a Passed 1st time,4,496.842095,c 460-520
3.0,5.0,1,1,25.0,2.7,-0.02,P,7,P,94,1,2,60,0,1.0,a Passed 1st time,4,506.842095,c 460-520
5.0,7.0,0,6,28.0,3.5,0.48,F,7,F,94,1,2,62,0,0.0,c Failed,1,634.210514,e 580-640
2.0,3.0,0,2,33.0,3.5,-0.84,F,2,F,95,1,4,65,0,0.0,c Failed,2,713.157879,g 700+
5.0,6.0,0,1,36.0,3.5,0.09,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,4,760.526298,g 700+
8.0,8.0,0,3,48.0,3.4,0.77,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,3,939.999974,g 700+
3.0,5.0,1,3,34.5,3.0,-0.03,P,7,P,94,1,2,47,0,1.0,a Passed 1st time,3,686.8420885,f 640-700
8.0,6.0,1,3,41.0,3.2,-0.02,P,7,P,94,1,5,62,0,1.0,a Passed 1st time,3,809.473663,g 700+
5.0,6.0,0,3,34.0,2.8,0.01,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,3,658.9473519999999,f 640-700
7.0,7.0,0,6,24.0,3.2,0.41,P,7,P,94,1,3,44,0,1.0,a Passed 1st time,1,541.052622,d 520-580
9.0,10.0,1,3,35.5,3.8,1.27,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,3,782.6315615,g 700+
5.0,7.0,1,3,33.0,2.0,0.3,P,7,P,94,1,3,57,0,1.0,a Passed 1st time,3,563.157879,d 520-580
4.0,5.0,0,3,28.0,2.3,-0.16,P,7,P,94,1,3,60,0,1.0,a Passed 1st time,3,514.210514,c 460-520
7.0,7.0,0,3,31.0,3.5,0.3,P,7,P,94,1,2,62,0,1.0,a Passed 1st time,3,681.578933,f 640-700
7.0,7.0,0,1,41.0,3.8,0.48,P,6,P,94,1,3,63,0,1.0,a Passed 1st time,4,869.473663,g 700+
3.0,6.0,0,4,35.5,3.1,0.14,P,7,P,94,1,5,62,0,1.0,a Passed 1st time,5,712.6315615,g 700+
4.0,3.0,0,2,31.0,3.7,-0.54,F,7,P,95,1,2,59,0,1.0,b Passed 2nd time,2,701.578933,g 700+
6.0,7.0,0,3,44.0,2.1,0.51,P,7,P,94,1,4,54,0,1.0,a Passed 1st time,3,746.842082,g 700+
7.0,7.0,0,3,36.0,3.6,0.45,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,3,770.526298,g 700+
5.0,4.0,1,1,36.0,3.1,-0.25,P,2,P,94,1,5,67,0,1.0,a Passed 1st time,4,720.526298,g 700+
1.0,2.0,1,1,44.0,3.7,-1.26,P,2,P,94,1,3,60,0,1.0,a Passed 1st time,4,906.842082,g 700+
1.0,2.0,1,4,44.0,2.7,-1.03,P,7,P,94,1,2,60,0,1.0,a Passed 1st time,5,806.842082,g 700+
5.0,7.0,1,3,32.0,3.0,0.37,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,3,647.368406,f 640-700
6.0,6.0,1,1,42.0,3.5,0.09,P,7,P,95,1,3,61,0,1.0,a Passed 1st time,4,855.263136,g 700+
3.0,2.0,1,2,33.0,2.8,-0.91,F,7,P,95,1,3,62,0,1.0,b Passed 2nd time,2,643.157879,f 640-700
9.0,5.0,1,6,31.0,3.1,-0.19,P,2,P,95,1,4,66,0,1.0,a Passed 1st time,1,641.578933,f 640-700
4.0,7.0,1,1,34.0,3.6,0.45,P,7,P,95,2,4,57,1,1.0,a Passed 1st time,4,738.947352,g 700+
8.0,10.0,1,1,39.0,3.3,1.34,P,7,P,94,1,4,60,0,1.0,a Passed 1st time,4,787.8947169999999,g 700+
5.0,6.0,0,1,33.0,3.7,0.27,P,7,P,94,1,3,60,0,1.0,a Passed 1st time,4,733.157879,g 700+
4.0,7.0,1,1,42.0,3.7,0.4,P,7,P,94,1,3,59,0,1.0,a Passed 1st time,4,875.263136,g 700+
7.0,7.0,1,3,41.0,3.0,0.34,P,7,P,94,1,4,60,0,1.0,a Passed 1st time,3,789.473663,g 700+
7.0,5.0,1,1,33.0,3.6,0.0,P,7,P,95,1,3,62,0,1.0,a Passed 1st time,4,723.157879,g 700+
1.0,2.0,0,1,34.0,3.3,-0.92,F,7,F,95,2,3,49,1,0.0,c Failed,4,708.9473519999999,g 700+
4.0,3.0,1,3,43.0,2.5,-0.81,P,7,P,95,2,4,49,1,1.0,a Passed 1st time,3,771.052609,g 700+
9.0,9.0,1,3,37.0,3.7,1.08,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,3,796.315771,g 700+
9.0,10.0,1,3,40.0,2.7,1.49,P,7,P,94,1,3,60,0,1.0,a Passed 1st time,3,743.6841900000001,g 700+
9.0,8.0,0,3,35.0,3.0,0.76,P,7,P,94,1,4,57,0,1.0,a Passed 1st time,3,694.736825,f 640-700
10.0,10.0,0,3,38.0,3.6,1.39,P,7,P,94,1,2,58,0,1.0,a Passed 1st time,3,802.105244,g 700+
6.0,7.0,0,3,34.0,3.3,0.39,P,7,P,94,1,4,60,0,1.0,a Passed 1st time,3,708.9473519999999,g 700+
8.0,6.0,1,1,42.0,3.8,0.26,P,7,P,95,1,4,61,0,1.0,a Passed 1st time,4,885.2631359999999,g 700+
9.0,7.0,0,1,47.0,2.5,0.44,P,7,P,94,1,4,60,0,1.0,a Passed 1st time,4,834.210501,g 700+
1.0,2.0,0,4,40.0,3.1,-1.03,F,2,P,95,1,4,64,0,1.0,b Passed 2nd time,5,783.6841900000001,g 700+
5.0,5.0,0,1,34.0,2.8,0.02,P,7,P,94,1,4,45,0,1.0,a Passed 1st time,4,658.9473519999999,f 640-700
3.0,5.0,0,3,34.0,3.5,-0.2,P,7,P,94,1,4,63,0,1.0,a Passed 1st time,3,728.9473519999999,g 700+
9.0,8.0,1,3,38.0,3.0,0.7,P,7,P,94,1,4,60,0,1.0,a Passed 1st time,3,742.105244,g 700+
3.0,3.0,1,3,33.0,3.1,-0.52,P,7,P,95,2,3,46,1,1.0,a Passed 1st time,3,673.157879,f 640-700
8.0,7.0,1,3,37.0,2.9,0.39,P,2,P,94,1,4,64,0,1.0,a Passed 1st time,3,716.3157709999999,g 700+
7.0,6.0,0,3,37.0,3.6,0.19,P,7,P,94,1,4,59,0,1.0,a Passed 1st time,3,786.315771,g 700+
4.0,4.0,1,2,34.0,3.2,-0.54,P,7,P,94,1,3,61,0,1.0,a Passed 1st time,2,698.947352,f 640-700
6.0,6.0,1,4,39.0,3.5,0.23,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,5,807.8947169999999,g 700+
8.0,8.0,1,1,40.0,3.7,0.8,P,2,P,95,1,4,67,0,1.0,a Passed 1st time,4,843.6841900000001,g 700+
10.0,10.0,0,4,42.0,3.9,2.18,P,7,P,94,1,4,63,0,1.0,a Passed 1st time,5,895.2631359999999,g 700+
3.0,3.0,0,2,26.0,3.1,-0.58,F,7,P,95,1,4,60,0,1.0,b Passed 2nd time,2,562.631568,d 520-580
2.0,1.0,1,1,40.0,3.0,-1.82,P,2,P,95,1,4,65,0,1.0,a Passed 1st time,4,773.68419,g 700+
3.0,5.0,0,4,33.0,3.5,-0.08,F,7,P,95,1,4,62,0,1.0,b Passed 2nd time,5,713.157879,g 700+
1.0,1.0,1,2,34.0,3.0,-2.51,P,7,P,94,1,4,60,0,1.0,a Passed 1st time,2,678.9473519999999,f 640-700
5.0,4.0,1,2,37.0,2.4,-0.51,P,7,P,95,2,4,61,1,1.0,a Passed 1st time,2,666.3157709999999,f 640-700
3.0,1.0,1,3,42.0,3.3,-1.59,P,7,P,95,1,4,62,0,1.0,a Passed 1st time,3,835.2631359999999,g 700+
2.0,3.0,1,5,48.0,3.2,-0.84,P,7,P,94,1,3,61,0,1.0,a Passed 1st time,6,919.999974,g 700+
3.0,4.0,1,6,25.5,2.5,-0.4,P,7,P,94,1,4,59,0,1.0,a Passed 1st time,1,494.7368315,c 460-520
4.0,5.0,0,1,40.0,3.9,-0.16,P,7,P,95,1,3,62,0,1.0,a Passed 1st time,4,863.68419,g 700+
10.0,8.0,0,1,40.0,4.0,0.66,P,7,P,94,1,4,55,0,1.0,a Passed 1st time,4,873.68419,g 700+
7.0,9.0,1,3,35.5,3.4,0.85,P,7,P,94,1,4,58,0,1.0,a Passed 1st time,3,742.6315615,g 700+
9.0,10.0,1,3,33.0,3.8,1.58,P,7,P,94,1,2,60,0,1.0,a Passed 1st time,3,743.157879,g 700+
5.0,7.0,0,1,34.0,3.7,0.33,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,4,748.947352,g 700+
7.0,9.0,0,3,33.0,3.4,1.01,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,3,703.157879,g 700+
5.0,5.0,0,1,44.0,3.5,-0.15,P,7,P,94,1,3,54,0,1.0,a Passed 1st time,4,886.842082,g 700+
3.0,2.0,0,3,37.0,2.4,-1.1,P,7,P,94,1,3,59,0,1.0,a Passed 1st time,3,666.3157709999999,f 640-700
7.0,8.0,0,3,38.0,3.3,0.61,P,2,P,95,1,4,65,0,1.0,a Passed 1st time,3,772.105244,g 700+
7.0,6.0,0,1,41.0,3.4,0.12,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,4,829.473663,g 700+
8.0,7.0,1,1,35.0,3.7,0.45,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,4,764.736825,g 700+
8.0,7.0,0,5,40.0,3.8,0.55,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,6,853.68419,g 700+
10.0,10.0,1,3,40.0,2.7,1.49,P,2,P,95,2,3,64,1,1.0,a Passed 1st time,3,743.6841900000001,g 700+
9.0,9.0,1,1,37.0,3.6,1.21,P,7,P,94,1,3,57,0,1.0,a Passed 1st time,4,786.315771,g 700+
4.0,7.0,1,3,36.0,2.6,0.39,P,7,P,94,1,4,59,0,1.0,a Passed 1st time,3,670.526298,f 640-700
10.0,10.0,1,1,44.0,3.3,1.57,P,7,P,94,1,5,58,0,1.0,a Passed 1st time,4,866.842082,g 700+
10.0,8.0,1,4,37.0,3.3,0.82,P,7,P,94,1,3,58,0,1.0,a Passed 1st time,5,756.3157709999999,g 700+
10.0,9.0,0,3,37.0,3.4,1.02,P,7,P,95,2,4,48,1,1.0,a Passed 1st time,3,766.3157709999999,g 700+
1.0,3.0,0,3,32.3,2.5,-0.79,P,2,P,95,1,4,61,0,1.0,a Passed 1st time,3,602.1052479,e 580-640
1.0,1.0,1,1,29.0,3.3,-1.59,P,2,P,95,1,2,61,0,1.0,a Passed 1st time,4,629.9999869999999,e 580-640
6.0,5.0,0,1,40.0,2.7,-0.12,P,7,P,94,1,4,58,0,1.0,a Passed 1st time,4,743.6841900000001,g 700+
6.0,5.0,1,3,33.0,3.2,-0.21,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,3,683.157879,f 640-700
7.0,7.0,1,3,40.0,3.8,0.4,P,7,P,94,1,3,60,0,1.0,a Passed 1st time,3,853.68419,g 700+
6.0,5.0,0,3,33.0,2.7,-0.24,P,7,P,94,1,4,57,0,1.0,a Passed 1st time,3,633.157879,e 580-640
2.0,2.0,1,5,43.0,3.6,-1.07,P,7,P,94,1,2,60,0,1.0,a Passed 1st time,6,881.052609,g 700+
3.0,9.0,1,1,26.0,2.6,1.28,F,7,F,94,2,4,61,1,0.0,c Failed,4,512.631568,c 460-520
5.0,4.0,0,3,32.0,3.3,-0.37,F,7,P,95,1,4,56,0,1.0,b Passed 2nd time,3,677.3684059999999,f 640-700
7.0,6.0,0,4,35.5,3.7,0.15,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,5,772.6315615,g 700+
3.0,10.0,0,3,32.0,3.4,1.34,P,2,P,95,2,3,52,1,1.0,a Passed 1st time,3,687.3684059999999,f 640-700
2.0,2.0,1,3,46.0,2.9,-0.86,P,7,P,94,1,4,58,0,1.0,a Passed 1st time,3,858.421028,g 700+
8.0,6.0,1,1,40.0,3.0,0.14,P,7,P,94,1,3,60,0,1.0,a Passed 1st time,4,773.68419,g 700+
10.0,10.0,0,1,35.0,3.4,1.34,P,7,P,94,1,4,61,0,1.0,a Passed 1st time,4,734.736825,g 700+
4.0,10.0,1,5,46.0,2.2,2.72,P,7,P,94,1,4,59,0,1.0,a Passed 1st time,6,788.421028,g 700+
7.0,9.0,1,1,38.0,3.0,0.96,P,7,P,94,1,3,59,0,1.0,a Passed 1st time,4,742.105244,g 700+
7.0,4.0,1,4,36.0,3.9,-0.25,P,7,P,94,1,3,42,0,1.0,a Passed 1st time,5,800.526298,g 700+
8.0,7.0,0,2,33.5,3.1,0.34,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,2,681.0526155,f 640-700
6.0,3.0,0,3,32.0,3.5,-0.56,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,3,697.368406,f 640-700
2.0,3.0,1,3,31.5,3.6,-0.67,F,7,P,95,1,4,61,0,1.0,b Passed 2nd time,3,699.4736695,f 640-700
8.0,8.0,1,4,42.0,3.4,0.55,P,7,P,94,1,2,62,0,1.0,a Passed 1st time,5,845.2631359999999,g 700+
7.0,6.0,0,1,41.0,3.2,0.19,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,4,809.473663,g 700+
2.0,4.0,0,4,46.0,3.8,-0.25,P,7,P,94,1,3,62,0,1.0,a Passed 1st time,5,948.421028,g 700+
6.0,6.0,0,1,38.0,3.6,0.22,P,7,P,94,1,4,62,0,1.0,a Passed 1st time,4,802.105244,g 700+
9.0,8.0,0,3,42.0,3.2,0.82,P,7,P,94,1,4,56,0,1.0,a Passed 1st time,3,825.263136,g 700+
3.0,2.0,1,1,35.5,3.2,-1.06,P,7,P,95,2,4,60,1,1.0,a Passed 1st time,4,722.6315615,g 700+
7.0,9.0,1,3,34.0,3.3,1.19,P,7,P,94,2,3,58,1,1.0,a Passed 1st time,3,708.9473519999999,g 700+
