decile1b,decile3,decile1,sex,cluster,lsat,ugpa,zfygpa,dob_yr,zgpa,fulltime,fam_inc,age,parttime,pass_bar,bar,tier,index604,indxgrp,indxgrp2
10.0,9.0,10.0,0,4,48.0,3.7,1.94,69,0.98,1,4,62,0,1.0,a Passed 1st time,5,969.999974,g 700+,8
3.0,2.0,3.0,0,3,36.0,2.9,-0.53,68,-1.05,1,4,61,0,1.0,b Passed 2nd time,3,700.526298,g 700+,6
3.0,2.0,3.0,0,1,36.0,3.1,-0.67,68,-0.9,1,3,61,0,1.0,a Passed 1st time,4,720.526298,g 700+,6
3.0,2.0,3.0,1,3,36.0,3.5,-0.64,65,-1.12,1,1,58,0,1.0,a Passed 1st time,3,760.526298,g 700+,7
8.0,5.0,8.0,1,1,45.0,3.0,0.64,68,-0.1,1,3,61,0,1.0,a Passed 1st time,4,852.6315549999999,g 700+,8
10.0,10.0,10.0,1,6,35.0,2.6,2.4,62,3.22,1,3,60,0,1.0,a Passed 1st time,1,654.736825,f 640-700,5
3.0,1.0,3.0,1,4,36.0,3.4,-0.6,67,-1.63,1,2,60,0,1.0,a Passed 1st time,5,750.526298,g 700+,6
9.0,8.0,9.0,0,1,46.0,3.8,1.27,69,0.87,1,4,67,0,1.0,a Passed 1st time,4,948.421028,g 700+,8
9.0,8.0,9.0,1,4,39.0,3.1,1.02,59,0.73,2,3,52,1,1.0,a Passed 1st time,5,767.894717,g 700+,7
4.0,5.0,4.0,0,3,39.0,2.7,-0.39,69,-0.07,1,3,62,0,1.0,a Passed 1st time,3,727.894717,g 700+,6
10.0,10.0,10.0,0,4,39.0,4.0,2.88,66,2.87,1,3,59,0,1.0,a Passed 1st time,5,857.8947169999999,g 700+,8
6.0,7.0,6.0,0,3,38.0,3.0,0.14,68,0.53,1,3,61,0,1.0,a Passed 1st time,3,742.105244,g 700+,6
10.0,10.0,10.0,1,1,32.0,4.0,1.68,59,1.33,1,3,52,0,1.0,a Passed 1st time,4,747.368406,g 700+,6
7.0,4.0,7.0,1,3,39.0,3.5,0.34,58,-0.49,1,4,51,0,1.0,a Passed 1st time,3,807.8947169999999,g 700+,7
2.0,1.0,2.0,1,4,29.0,2.5,-1.08,64,-1.46,1,3,57,0,1.0,a Passed 1st time,5,549.9999869999999,d 520-580,3
9.0,8.0,9.0,1,4,48.0,3.5,1.02,68,0.76,1,4,61,0,1.0,a Passed 1st time,5,949.999974,g 700+,8
1.0,2.0,1.0,0,3,27.0,2.5,-1.4,68,-1.08,1,3,61,0,1.0,a Passed 1st time,3,518.4210410000001,c 460-520,2
2.0,1.0,2.0,1,1,31.0,2.6,-1.04,69,-1.49,1,4,62,0,1.0,a Passed 1st time,4,591.578933,e 580-640,4
10.0,10.0,10.0,0,1,45.0,3.7,1.51,68,1.69,1,3,61,0,1.0,a Passed 1st time,4,922.631555,g 700+,8
4.0,5.0,4.0,1,5,36.0,3.9,-0.45,68,-0.04,1,4,61,0,1.0,a Passed 1st time,6,800.526298,g 700+,7
2.0,2.0,2.0,1,1,34.0,2.5,-1.14,67,-0.93,1,4,60,0,0.0,c Failed,4,628.9473519999999,e 580-640,4
6.0,2.0,6.0,1,1,35.0,3.8,0.27,67,-0.98,1,3,60,0,1.0,a Passed 1st time,4,774.736825,g 700+,7
3.0,4.0,3.0,1,4,35.0,3.1,-0.67,68,-0.28,1,3,61,0,1.0,a Passed 1st time,5,704.736825,g 700+,6
1.0,1.0,1.0,1,5,36.0,3.9,-1.5,67,-2.18,1,4,60,0,1.0,a Passed 1st time,6,800.526298,g 700+,7
2.0,2.0,2.0,1,1,42.0,3.3,-1.06,67,-1.13,1,3,60,0,1.0,a Passed 1st time,4,835.2631359999999,g 700+,8
10.0,10.0,10.0,0,1,30.0,3.7,1.66,66,1.52,1,3,59,0,1.0,a Passed 1st time,4,685.78946,f 640-700,5
8.0,10.0,8.0,0,4,25.0,3.7,0.6,69,1.72,1,3,62,0,1.0,a Passed 1st time,5,606.842095,e 580-640,4
4.0,2.0,4.0,0,4,31.5,3.6,-0.37,69,-1.04,1,3,62,0,1.0,a Passed 1st time,5,699.4736695,f 640-700,5
8.0,8.0,8.0,1,1,40.0,3.2,0.82,68,0.72,1,5,61,0,1.0,a Passed 1st time,4,793.6841900000001,g 700+,7
3.0,5.0,3.0,0,3,40.0,3.5,-0.64,68,-0.12,1,4,61,0,1.0,a Passed 1st time,3,823.68419,g 700+,8
7.0,7.0,7.0,0,1,41.0,3.7,0.44,69,0.53,1,3,62,0,1.0,a Passed 1st time,4,859.473663,g 700+,8
9.0,7.0,9.0,0,3,34.0,3.5,0.96,69,0.45,1,3,62,0,1.0,a Passed 1st time,3,728.9473519999999,g 700+,6
7.0,6.0,7.0,1,1,39.0,3.4,0.45,69,0.22,1,4,62,0,1.0,a Passed 1st time,4,797.8947169999999,g 700+,7
4.0,4.0,4.0,0,4,38.0,3.0,-0.45,67,-0.27,1,5,60,0,1.0,a Passed 1st time,5,742.105244,g 700+,6
5.0,5.0,5.0,1,5,41.0,3.2,-0.16,66,-0.19,1,5,59,0,1.0,b Passed 2nd time,6,809.473663,g 700+,7
7.0,6.0,8.0,0,2,31.0,3.3,0.55,64,0.08,1,4,57,0,1.0,a Passed 1st time,2,661.578933,f 640-700,5
5.0,4.0,5.0,0,5,42.0,3.6,-0.03,68,-0.28,1,3,66,0,1.0,a Passed 1st time,6,865.263136,g 700+,8
6.0,8.0,6.0,0,3,34.0,3.2,0.16,69,0.63,1,4,62,0,1.0,a Passed 1st time,3,698.947352,f 640-700,5
5.0,5.0,5.0,1,3,37.0,3.0,-0.11,69,-0.23,1,3,62,0,1.0,a Passed 1st time,3,726.315771,g 700+,6
8.0,4.0,8.0,1,3,42.0,2.3,0.81,67,-0.3,1,3,60,0,1.0,a Passed 1st time,3,735.2631359999999,g 700+,6
7.0,6.0,7.0,1,3,36.0,3.3,0.45,69,0.23,1,4,62,0,1.0,a Passed 1st time,3,740.526298,g 700+,6
9.0,8.0,9.0,1,3,42.0,3.0,1.05,69,0.62,1,3,62,0,1.0,a Passed 1st time,3,805.263136,g 700+,7
10.0,10.0,10.0,1,3,40.0,3.5,1.34,55,1.41,2,2,48,1,1.0,a Passed 1st time,3,823.68419,g 700+,8
8.0,9.0,8.0,0,6,29.0,2.8,0.81,67,1.37,1,2,60,0,1.0,a Passed 1st time,1,579.9999869999999,d 520-580,3
4.0,4.0,4.0,1,3,36.0,3.3,-0.39,68,-0.35,1,4,61,0,1.0,a Passed 1st time,3,740.526298,g 700+,6
9.0,9.0,9.0,1,3,36.0,2.9,0.91,49,1.2,1,4,42,0,1.0,a Passed 1st time,3,700.526298,g 700+,6
4.0,4.0,4.0,0,3,37.0,2.7,-0.33,61,-0.3,1,4,59,0,1.0,a Passed 1st time,3,696.315771,f 640-700,5
6.0,5.0,7.0,0,1,35.0,3.1,0.31,65,-0.01,1,5,58,0,1.0,a Passed 1st time,4,704.736825,g 700+,6
4.0,3.0,4.0,0,1,41.0,3.4,-0.38,65,-0.83,1,3,58,0,0.0,c Failed,4,829.473663,g 700+,8
6.0,5.0,6.0,1,3,42.0,2.9,0.1,64,-0.18,1,4,57,0,1.0,a Passed 1st time,3,795.2631359999999,g 700+,7
2.0,3.0,2.0,0,5,33.5,3.4,-0.91,67,-0.57,1,4,60,0,1.0,a Passed 1st time,6,711.0526155,g 700+,6
2.0,2.0,2.0,0,1,32.0,3.0,-1.02,67,-1.33,1,3,65,0,1.0,b Passed 2nd time,4,647.368406,f 640-700,5
6.0,5.0,6.0,0,2,36.0,3.7,0.12,69,-0.13,1,4,62,0,1.0,a Passed 1st time,2,780.526298,g 700+,7
2.0,3.0,2.0,0,5,34.5,3.3,-0.95,67,-0.8,1,4,60,0,1.0,a Passed 1st time,6,716.8420884999999,g 700+,6
1.0,2.0,2.0,0,2,32.0,3.0,-1.26,69,-1.02,1,4,62,0,1.0,a Passed 1st time,2,647.368406,f 640-700,5
9.0,9.0,9.0,1,2,35.0,3.3,0.91,68,1.26,1,4,61,0,1.0,a Passed 1st time,2,724.736825,g 700+,6
9.0,8.0,10.0,0,1,34.0,2.9,1.31,68,0.64,1,2,61,0,1.0,a Passed 1st time,4,668.9473519999999,f 640-700,5
5.0,3.0,6.0,1,6,27.0,3.1,0.05,68,-0.68,1,2,61,0,1.0,a Passed 1st time,1,578.4210410000001,d 520-580,3
7.0,9.0,7.0,1,4,39.0,3.4,0.36,61,1.23,2,3,54,1,1.0,a Passed 1st time,5,797.8947169999999,g 700+,7
4.0,2.0,4.0,1,4,40.0,3.5,-0.44,68,-1.01,1,4,61,0,1.0,a Passed 1st time,5,823.68419,g 700+,8
2.0,2.0,3.0,1,2,32.0,3.9,-0.88,69,-1.14,1,4,62,0,1.0,a Passed 1st time,2,737.3684059999999,g 700+,6
3.0,2.0,3.0,0,1,42.0,3.3,-0.64,58,-1.1,1,3,51,0,1.0,a Passed 1st time,4,835.2631359999999,g 700+,8
8.0,10.0,8.0,1,4,35.0,2.9,0.8,56,1.53,2,3,54,1,1.0,a Passed 1st time,5,684.736825,f 640-700,5
3.0,5.0,4.0,0,6,34.0,2.9,-0.36,70,-0.08,1,2,63,0,1.0,a Passed 1st time,1,668.9473519999999,f 640-700,5
2.0,1.0,2.0,0,1,38.0,3.2,-0.98,69,-1.72,1,4,62,0,1.0,a Passed 1st time,4,762.105244,g 700+,7
2.0,2.0,2.0,1,1,42.0,3.4,-0.84,63,-0.93,1,3,56,0,1.0,a Passed 1st time,4,845.2631359999999,g 700+,8
4.0,4.0,4.0,0,1,38.0,3.6,-0.4,69,-0.46,1,4,62,0,1.0,a Passed 1st time,4,802.105244,g 700+,7
3.0,3.0,3.0,0,1,37.0,3.2,-0.65,68,-0.59,1,3,61,0,1.0,a Passed 1st time,4,746.315771,g 700+,6
5.0,7.0,5.0,1,5,41.0,3.8,0.02,67,0.33,1,3,60,0,1.0,a Passed 1st time,6,869.473663,g 700+,8
9.0,8.0,9.0,0,3,32.0,3.1,1.04,68,0.64,1,3,66,0,1.0,a Passed 1st time,3,657.368406,f 640-700,5
1.0,1.0,2.0,0,3,29.0,2.8,-1.13,55,-1.49,1,4,48,0,0.0,c Failed,3,579.9999869999999,d 520-580,3
7.0,9.0,7.0,1,1,40.0,3.4,0.55,65,1.01,1,4,58,0,1.0,a Passed 1st time,4,813.68419,g 700+,7
8.0,5.0,8.0,1,3,37.0,2.7,0.61,67,-0.27,1,3,60,0,1.0,a Passed 1st time,3,696.315771,f 640-700,5
4.0,4.0,4.0,0,5,44.0,3.4,-0.31,70,-0.35,1,3,63,0,1.0,a Passed 1st time,6,876.842082,g 700+,8
9.0,9.0,9.0,1,2,41.0,3.4,0.89,58,0.94,1,4,51,0,1.0,a Passed 1st time,2,829.473663,g 700+,8
6.0,7.0,7.0,0,5,42.0,3.8,0.35,62,0.35,1,4,55,0,1.0,a Passed 1st time,6,885.2631359999999,g 700+,8
7.0,8.0,7.0,0,4,41.5,3.2,0.43,65,0.73,1,3,58,0,1.0,a Passed 1st time,5,817.3683995,g 700+,7
1.0,2.0,2.0,1,3,41.0,2.9,-1.13,68,-0.94,1,4,61,0,1.0,a Passed 1st time,3,779.473663,g 700+,7
4.0,7.0,4.0,1,4,40.0,3.8,-0.41,67,0.46,1,3,60,0,1.0,a Passed 1st time,5,853.68419,g 700+,8
10.0,3.0,10.0,0,4,28.3,3.1,1.54,62,-0.82,1,2,55,0,1.0,a Passed 1st time,5,598.9473559,e 580-640,4
6.0,2.0,6.0,1,3,38.0,2.8,0.2,68,-1.06,1,5,61,0,1.0,a Passed 1st time,3,722.105244,g 700+,6
4.0,4.0,5.0,0,1,40.0,3.2,-0.18,69,-0.39,1,4,62,0,1.0,a Passed 1st time,4,793.6841900000001,g 700+,7
6.0,5.0,6.0,1,1,25.0,2.6,0.26,62,-0.09,1,3,55,0,1.0,a Passed 1st time,4,496.842095,c 460-520,2
5.0,3.0,5.0,1,1,25.0,2.7,-0.02,67,-0.74,1,2,60,0,1.0,a Passed 1st time,4,506.842095,c 460-520,2
7.0,5.0,7.0,0,6,28.0,3.5,0.48,69,-0.04,1,2,62,0,0.0,c Failed,1,634.210514,e 580-640,4
2.0,2.0,3.0,0,2,33.0,3.5,-0.84,67,-1.19,1,4,65,0,0.0,c Failed,2,713.157879,g 700+,6
5.0,5.0,6.0,0,1,36.0,3.5,0.09,69,-0.01,1,3,62,0,1.0,a Passed 1st time,4,760.526298,g 700+,7
8.0,8.0,8.0,0,3,48.0,3.4,0.77,69,0.74,1,3,62,0,1.0,a Passed 1st time,3,939.999974,g 700+,8
5.0,3.0,5.0,1,3,34.5,3.0,-0.03,54,-0.64,1,2,47,0,1.0,a Passed 1st time,3,686.8420885,f 640-700,5
5.0,8.0,6.0,1,3,41.0,3.2,-0.02,69,0.65,1,5,62,0,1.0,a Passed 1st time,3,809.473663,g 700+,7
5.0,5.0,6.0,0,3,34.0,2.8,0.01,69,-0.13,1,3,62,0,1.0,a Passed 1st time,3,658.9473519999999,f 640-700,5
7.0,7.0,7.0,0,6,24.0,3.2,0.41,51,0.32,1,3,44,0,1.0,a Passed 1st time,1,541.052622,d 520-580,3
9.0,9.0,10.0,1,3,35.5,3.8,1.27,68,1.0,1,4,61,0,1.0,a Passed 1st time,3,782.6315615,g 700+,7
6.0,5.0,7.0,1,3,33.0,2.0,0.3,64,-0.05,1,3,57,0,1.0,a Passed 1st time,3,563.157879,d 520-580,3
5.0,4.0,5.0,0,3,28.0,2.3,-0.16,67,-0.5,1,3,60,0,1.0,a Passed 1st time,3,514.210514,c 460-520,2
6.0,7.0,7.0,0,3,31.0,3.5,0.3,69,0.34,1,2,62,0,1.0,a Passed 1st time,3,681.578933,f 640-700,5
7.0,7.0,7.0,0,1,41.0,3.8,0.48,69,0.35,1,3,63,0,1.0,a Passed 1st time,4,869.473663,g 700+,8
6.0,3.0,6.0,0,4,35.5,3.1,0.14,69,-0.65,1,5,62,0,1.0,a Passed 1st time,5,712.6315615,g 700+,6
3.0,4.0,3.0,0,2,31.0,3.7,-0.54,66,-0.33,1,2,59,0,1.0,b Passed 2nd time,2,701.578933,g 700+,6
7.0,6.0,7.0,0,3,44.0,2.1,0.51,61,0.09,1,4,54,0,1.0,a Passed 1st time,3,746.842082,g 700+,6
7.0,7.0,7.0,0,3,36.0,3.6,0.45,69,0.44,1,3,62,0,1.0,a Passed 1st time,3,770.526298,g 700+,7
4.0,5.0,4.0,1,1,36.0,3.1,-0.25,69,-0.05,1,5,67,0,1.0,a Passed 1st time,4,720.526298,g 700+,6
1.0,1.0,2.0,1,1,44.0,3.7,-1.26,62,-1.42,1,3,60,0,1.0,a Passed 1st time,4,906.842082,g 700+,8
2.0,1.0,2.0,1,4,44.0,2.7,-1.03,67,-1.85,1,2,60,0,1.0,a Passed 1st time,5,806.842082,g 700+,7
7.0,5.0,7.0,1,3,32.0,3.0,0.37,69,-0.1,1,4,62,0,1.0,a Passed 1st time,3,647.368406,f 640-700,5
6.0,6.0,6.0,1,1,42.0,3.5,0.09,68,0.08,1,3,61,0,1.0,a Passed 1st time,4,855.263136,g 700+,8
2.0,3.0,2.0,1,2,33.0,2.8,-0.91,69,-0.82,1,3,62,0,1.0,b Passed 2nd time,2,643.157879,f 640-700,5
4.0,9.0,5.0,1,6,31.0,3.1,-0.19,68,1.07,1,4,66,0,1.0,a Passed 1st time,1,641.578933,f 640-700,5
7.0,4.0,7.0,1,1,34.0,3.6,0.45,64,-0.5,2,4,57,1,1.0,a Passed 1st time,4,738.947352,g 700+,6
10.0,8.0,10.0,1,1,39.0,3.3,1.34,67,0.64,1,4,60,0,1.0,a Passed 1st time,4,787.8947169999999,g 700+,7
6.0,5.0,6.0,0,1,33.0,3.7,0.27,67,-0.14,1,3,60,0,1.0,a Passed 1st time,4,733.157879,g 700+,6
7.0,4.0,7.0,1,1,42.0,3.7,0.4,66,-0.37,1,3,59,0,1.0,a Passed 1st time,4,875.263136,g 700+,8
7.0,7.0,7.0,1,3,41.0,3.0,0.34,67,0.35,1,4,60,0,1.0,a Passed 1st time,3,789.473663,g 700+,7
5.0,7.0,5.0,1,1,33.0,3.6,0.0,69,0.4,1,3,62,0,1.0,a Passed 1st time,4,723.157879,g 700+,6
2.0,1.0,2.0,0,1,34.0,3.3,-0.92,56,-1.86,2,3,49,1,0.0,c Failed,4,708.9473519999999,g 700+,6
2.0,4.0,3.0,1,3,43.0,2.5,-0.81,56,-0.36,2,4,49,1,1.0,a Passed 1st time,3,771.052609,g 700+,7
9.0,9.0,9.0,1,3,37.0,3.7,1.08,69,0.98,1,3,62,0,1.0,a Passed 1st time,3,796.315771,g 700+,7
10.0,9.0,10.0,1,3,40.0,2.7,1.49,67,1.14,1,3,60,0,1.0,a Passed 1st time,3,743.6841900000001,g 700+,6
8.0,9.0,8.0,0,3,35.0,3.0,0.76,64,0.94,1,4,57,0,1.0,a Passed 1st time,3,694.736825,f 640-700,5
10.0,10.0,10.0,0,3,38.0,3.6,1.39,65,1.6,1,2,58,0,1.0,a Passed 1st time,3,802.105244,g 700+,7
7.0,6.0,7.0,0,3,34.0,3.3,0.39,67,0.24,1,4,60,0,1.0,a Passed 1st time,3,708.9473519999999,g 700+,6
6.0,8.0,6.0,1,1,42.0,3.8,0.26,68,0.62,1,4,61,0,1.0,a Passed 1st time,4,885.2631359999999,g 700+,8
7.0,9.0,7.0,0,1,47.0,2.5,0.44,67,1.08,1,4,60,0,1.0,a Passed 1st time,4,834.210501,g 700+,8
2.0,1.0,2.0,0,4,40.0,3.1,-1.03,66,-1.78,1,4,64,0,1.0,b Passed 2nd time,5,783.6841900000001,g 700+,7
5.0,5.0,5.0,0,1,34.0,2.8,0.02,52,-0.07,1,4,45,0,1.0,a Passed 1st time,4,658.9473519999999,f 640-700,5
4.0,3.0,5.0,0,3,34.0,3.5,-0.2,70,-0.57,1,4,63,0,1.0,a Passed 1st time,3,728.9473519999999,g 700+,6
8.0,9.0,8.0,1,3,38.0,3.0,0.7,67,0.89,1,4,60,0,1.0,a Passed 1st time,3,742.105244,g 700+,6
3.0,3.0,3.0,1,3,33.0,3.1,-0.52,53,-0.76,2,3,46,1,1.0,a Passed 1st time,3,673.157879,f 640-700,5
7.0,8.0,7.0,1,3,37.0,2.9,0.39,66,0.73,1,4,64,0,1.0,a Passed 1st time,3,716.3157709999999,g 700+,6
6.0,7.0,6.0,0,3,37.0,3.6,0.19,66,0.3,1,4,59,0,1.0,a Passed 1st time,3,786.315771,g 700+,7
3.0,4.0,4.0,1,2,34.0,3.2,-0.54,68,-0.44,1,3,61,0,1.0,a Passed 1st time,2,698.947352,f 640-700,5
6.0,6.0,6.0,1,4,39.0,3.5,0.23,69,0.11,1,4,62,0,1.0,a Passed 1st time,5,807.8947169999999,g 700+,7
8.0,8.0,8.0,1,1,40.0,3.7,0.8,69,0.64,1,4,67,0,1.0,a Passed 1st time,4,843.6841900000001,g 700+,8
10.0,10.0,10.0,0,4,42.0,3.9,2.18,70,2.0,1,4,63,0,1.0,a Passed 1st time,5,895.2631359999999,g 700+,8
3.0,3.0,3.0,0,2,26.0,3.1,-0.58,67,-0.69,1,4,60,0,1.0,b Passed 2nd time,2,562.631568,d 520-580,3
1.0,2.0,1.0,1,1,40.0,3.0,-1.82,67,-1.27,1,4,65,0,1.0,a Passed 1st time,4,773.68419,g 700+,7
5.0,3.0,5.0,0,4,33.0,3.5,-0.08,69,-0.6,1,4,62,0,1.0,b Passed 2nd time,5,713.157879,g 700+,6
1.0,1.0,1.0,1,2,34.0,3.0,-2.51,67,-1.5,1,4,60,0,1.0,a Passed 1st time,2,678.9473519999999,f 640-700,5
3.0,5.0,4.0,1,2,37.0,2.4,-0.51,68,-0.27,2,4,61,1,1.0,a Passed 1st time,2,666.3157709999999,f 640-700,5
1.0,3.0,1.0,1,3,42.0,3.3,-1.59,69,-0.82,1,4,62,0,1.0,a Passed 1st time,3,835.2631359999999,g 700+,8
2.0,2.0,3.0,1,5,48.0,3.2,-0.84,68,-1.09,1,3,61,0,1.0,a Passed 1st time,6,919.999974,g 700+,8
3.0,3.0,4.0,1,6,25.5,2.5,-0.4,66,-0.75,1,4,59,0,1.0,a Passed 1st time,1,494.7368315,c 460-520,2
5.0,4.0,5.0,0,1,40.0,3.9,-0.16,69,-0.37,1,3,62,0,1.0,a Passed 1st time,4,863.68419,g 700+,8
8.0,10.0,8.0,0,1,40.0,4.0,0.66,62,1.57,1,4,55,0,1.0,a Passed 1st time,4,873.68419,g 700+,8
8.0,7.0,9.0,1,3,35.5,3.4,0.85,65,0.37,1,4,58,0,1.0,a Passed 1st time,3,742.6315615,g 700+,6
10.0,9.0,10.0,1,3,33.0,3.8,1.58,67,1.24,1,2,60,0,1.0,a Passed 1st time,3,743.157879,g 700+,6
6.0,5.0,7.0,0,1,34.0,3.7,0.33,69,-0.01,1,4,62,0,1.0,a Passed 1st time,4,748.947352,g 700+,6
9.0,7.0,9.0,0,3,33.0,3.4,1.01,69,0.41,1,4,62,0,1.0,a Passed 1st time,3,703.157879,g 700+,6
5.0,5.0,5.0,0,1,44.0,3.5,-0.15,61,-0.03,1,3,54,0,1.0,a Passed 1st time,4,886.842082,g 700+,8
2.0,3.0,2.0,0,3,37.0,2.4,-1.1,66,-0.73,1,3,59,0,1.0,a Passed 1st time,3,666.3157709999999,f 640-700,5
8.0,7.0,8.0,0,3,38.0,3.3,0.61,67,0.4,1,4,65,0,1.0,a Passed 1st time,3,772.105244,g 700+,7
6.0,7.0,6.0,0,1,41.0,3.4,0.12,69,0.4,1,4,62,0,1.0,a Passed 1st time,4,829.473663,g 700+,8
7.0,8.0,7.0,1,1,35.0,3.7,0.45,69,0.59,1,4,62,0,1.0,a Passed 1st time,4,764.736825,g 700+,7
7.0,8.0,7.0,0,5,40.0,3.8,0.55,69,0.65,1,4,62,0,1.0,a Passed 1st time,6,853.68419,g 700+,8
10.0,10.0,10.0,1,3,40.0,2.7,1.49,66,1.56,2,3,64,1,1.0,a Passed 1st time,3,743.6841900000001,g 700+,6
9.0,9.0,9.0,1,1,37.0,3.6,1.21,64,1.22,1,3,57,0,1.0,a Passed 1st time,4,786.315771,g 700+,7
7.0,4.0,7.0,1,3,36.0,2.6,0.39,66,-0.39,1,4,59,0,1.0,a Passed 1st time,3,670.526298,f 640-700,5
10.0,10.0,10.0,1,1,44.0,3.3,1.57,65,1.72,1,5,58,0,1.0,a Passed 1st time,4,866.842082,g 700+,8
8.0,10.0,8.0,1,4,37.0,3.3,0.82,65,1.52,1,3,58,0,1.0,a Passed 1st time,5,756.3157709999999,g 700+,6
9.0,10.0,9.0,0,3,37.0,3.4,1.02,55,2.04,2,4,48,1,1.0,a Passed 1st time,3,766.3157709999999,g 700+,7
2.0,1.0,3.0,0,3,32.3,2.5,-0.79,63,-1.75,1,4,61,0,1.0,a Passed 1st time,3,602.1052479,e 580-640,4
1.0,1.0,1.0,1,1,29.0,3.3,-1.59,63,-1.42,1,2,61,0,1.0,a Passed 1st time,4,629.9999869999999,e 580-640,4
5.0,6.0,5.0,0,1,40.0,2.7,-0.12,65,0.03,1,4,58,0,1.0,a Passed 1st time,4,743.6841900000001,g 700+,6
4.0,6.0,5.0,1,3,33.0,3.2,-0.21,68,0.01,1,4,61,0,1.0,a Passed 1st time,3,683.157879,f 640-700,5
7.0,7.0,7.0,1,3,40.0,3.8,0.4,67,0.51,1,3,60,0,1.0,a Passed 1st time,3,853.68419,g 700+,8
4.0,6.0,5.0,0,3,33.0,2.7,-0.24,64,0.1,1,4,57,0,1.0,a Passed 1st time,3,633.157879,e 580-640,4
2.0,2.0,2.0,1,5,43.0,3.6,-1.07,67,-0.94,1,2,60,0,1.0,a Passed 1st time,6,881.052609,g 700+,8
9.0,3.0,9.0,1,1,26.0,2.6,1.28,68,-0.85,2,4,61,1,0.0,c Failed,4,512.631568,c 460-520,2
4.0,5.0,4.0,0,3,32.0,3.3,-0.37,63,-0.15,1,4,56,0,1.0,b Passed 2nd time,3,677.3684059999999,f 640-700,5
6.0,7.0,6.0,0,4,35.5,3.7,0.15,69,0.32,1,4,62,0,1.0,a Passed 1st time,5,772.6315615,g 700+,7
10.0,3.0,10.0,0,3,32.0,3.4,1.34,54,-0.78,2,3,52,1,1.0,a Passed 1st time,3,687.3684059999999,f 640-700,5
2.0,2.0,2.0,1,3,46.0,2.9,-0.86,65,-1.09,1,4,58,0,1.0,a Passed 1st time,3,858.421028,g 700+,8
6.0,8.0,6.0,1,1,40.0,3.0,0.14,67,0.57,1,3,60,0,1.0,a Passed 1st time,4,773.68419,g 700+,7
10.0,10.0,10.0,0,1,35.0,3.4,1.34,68,1.42,1,4,61,0,1.0,a Passed 1st time,4,734.736825,g 700+,6
