decile3,decile1,race,cluster,lsat,ugpa,dob_yr,fulltime,fam_inc,gender,pass_bar,tier,indxgrp,indxgrp2
1.0,1.0,0,5,36.0,3.9,67,1,4,1,1,6,6,7
2.0,2.0,0,1,42.0,3.3,67,1,3,1,1,4,6,8
10.0,10.0,0,1,30.0,3.7,66,1,3,0,1,4,5,5
10.0,8.0,0,4,25.0,3.7,69,1,3,0,1,5,4,4
2.0,4.0,0,4,31.5,3.6,69,1,3,0,1,5,5,5
8.0,8.0,0,1,40.0,3.2,68,1,5,1,1,4,6,7
5.0,3.0,0,3,40.0,3.5,68,1,4,0,1,3,6,8
7.0,7.0,0,1,41.0,3.7,69,1,3,0,1,4,6,8
7.0,9.0,0,3,34.0,3.5,69,1,3,0,1,3,6,6
6.0,7.0,0,1,39.0,3.4,69,1,4,1,1,4,6,7
4.0,4.0,0,4,38.0,3.0,67,1,5,0,1,5,6,6
5.0,5.0,0,5,41.0,3.2,66,1,5,1,1,6,6,7
6.0,8.0,0,2,31.0,3.3,64,1,4,0,1,2,5,5
4.0,5.0,0,5,42.0,3.6,68,1,3,0,1,6,6,8
8.0,6.0,0,3,34.0,3.2,69,1,4,0,1,3,5,5
5.0,5.0,0,3,37.0,3.0,69,1,3,1,1,3,6,6
4.0,8.0,0,3,42.0,2.3,67,1,3,1,1,3,6,6
6.0,7.0,0,3,36.0,3.3,69,1,4,1,1,3,6,6
8.0,9.0,0,3,42.0,3.0,69,1,3,1,1,3,6,7
10.0,10.0,0,3,40.0,3.5,55,0,2,1,1,3,6,8
9.0,8.0,0,6,29.0,2.8,67,1,2,0,1,1,3,3
4.0,4.0,0,3,36.0,3.3,68,1,4,1,1,3,6,6
9.0,9.0,0,3,36.0,2.9,49,1,4,1,1,3,6,6
4.0,4.0,0,3,37.0,2.7,61,1,4,0,1,3,5,5
5.0,7.0,0,1,35.0,3.1,65,1,5,0,1,4,6,6
3.0,4.0,0,1,41.0,3.4,65,1,3,0,0,4,6,8
5.0,6.0,0,3,42.0,2.9,64,1,4,1,1,3,6,7
3.0,2.0,0,5,33.5,3.4,67,1,4,0,1,6,6,6
2.0,2.0,1,1,32.0,3.0,67,1,3,0,1,4,5,5
5.0,6.0,0,2,36.0,3.7,69,1,4,0,1,2,6,7
3.0,2.0,0,5,34.5,3.3,67,1,4,0,1,6,6,6
2.0,2.0,0,2,32.0,3.0,69,1,4,0,1,2,5,5
9.0,9.0,0,2,35.0,3.3,68,1,4,1,1,2,6,6
8.0,10.0,0,1,34.0,2.9,68,1,2,0,1,4,5,5
3.0,6.0,1,6,27.0,3.1,68,1,2,1,1,1,3,3
9.0,7.0,0,4,39.0,3.4,61,0,3,1,1,5,6,7
2.0,4.0,0,4,40.0,3.5,68,1,4,1,1,5,6,8
2.0,3.0,0,2,32.0,3.9,69,1,4,1,1,2,6,6
2.0,3.0,0,1,42.0,3.3,58,1,3,0,1,4,6,8
10.0,8.0,0,4,35.0,2.9,56,0,3,1,1,5,5,5
5.0,4.0,0,6,34.0,2.9,70,1,2,0,1,1,5,5
1.0,2.0,0,1,38.0,3.2,69,1,4,0,1,4,6,7
2.0,2.0,0,1,42.0,3.4,63,1,3,1,1,4,6,8
4.0,4.0,0,1,38.0,3.6,69,1,4,0,1,4,6,7
3.0,3.0,0,1,37.0,3.2,68,1,3,0,1,4,6,6
7.0,5.0,0,5,41.0,3.8,67,1,3,1,1,6,6,8
8.0,9.0,0,3,32.0,3.1,68,1,3,0,1,3,5,5
1.0,2.0,0,3,29.0,2.8,55,1,4,0,0,3,3,3
9.0,7.0,0,1,40.0,3.4,65,1,4,1,1,4,6,7
5.0,8.0,0,3,37.0,2.7,67,1,3,1,1,3,5,5
4.0,4.0,1,5,44.0,3.4,70,1,3,0,1,6,6,8
9.0,9.0,0,2,41.0,3.4,58,1,4,1,1,2,6,8
7.0,7.0,0,5,42.0,3.8,62,1,4,0,1,6,6,8
8.0,7.0,0,4,41.5,3.2,65,1,3,0,1,5,6,7
2.0,2.0,0,3,41.0,2.9,68,1,4,1,1,3,6,7
7.0,4.0,0,4,40.0,3.8,67,1,3,1,1,5,6,8
3.0,10.0,0,4,28.3,3.1,62,1,2,0,1,5,4,4
2.0,6.0,0,3,38.0,2.8,68,1,5,1,1,3,6,6
4.0,5.0,0,1,40.0,3.2,69,1,4,0,1,4,6,7
5.0,6.0,0,1,25.0,2.6,62,1,3,1,1,4,2,2
3.0,5.0,0,1,25.0,2.7,67,1,2,1,1,4,2,2
5.0,7.0,1,6,28.0,3.5,69,1,2,0,0,1,4,4
2.0,3.0,0,2,33.0,3.5,67,1,4,0,0,2,6,6
5.0,6.0,0,1,36.0,3.5,69,1,3,0,1,4,6,7
8.0,8.0,0,3,48.0,3.4,69,1,3,0,1,3,6,8
3.0,5.0,0,3,34.5,3.0,54,1,2,1,1,3,5,5
8.0,6.0,0,3,41.0,3.2,69,1,5,1,1,3,6,7
5.0,6.0,0,3,34.0,2.8,69,1,3,0,1,3,5,5
7.0,7.0,0,6,24.0,3.2,51,1,3,0,1,1,3,3
9.0,10.0,0,3,35.5,3.8,68,1,4,1,1,3,6,7
5.0,7.0,0,3,33.0,2.0,64,1,3,1,1,3,3,3
4.0,5.0,0,3,28.0,2.3,67,1,3,0,1,3,2,2
7.0,7.0,0,3,31.0,3.5,69,1,2,0,1,3,5,5
7.0,7.0,0,1,41.0,3.8,69,1,3,0,1,4,6,8
3.0,6.0,0,4,35.5,3.1,69,1,5,0,1,5,6,6
4.0,3.0,0,2,31.0,3.7,66,1,2,0,1,2,6,6
6.0,7.0,0,3,44.0,2.1,61,1,4,0,1,3,6,6
7.0,7.0,0,3,36.0,3.6,69,1,3,0,1,3,6,7
5.0,4.0,0,1,36.0,3.1,69,1,5,1,1,4,6,6
1.0,2.0,0,1,44.0,3.7,62,1,3,1,1,4,6,8
1.0,2.0,0,4,44.0,2.7,67,1,2,1,1,5,6,7
5.0,7.0,0,3,32.0,3.0,69,1,4,1,1,3,5,5
6.0,6.0,0,1,42.0,3.5,68,1,3,1,1,4,6,8
3.0,2.0,0,2,33.0,2.8,69,1,3,1,1,2,5,5
9.0,5.0,0,6,31.0,3.1,68,1,4,1,1,1,5,5
4.0,7.0,0,1,34.0,3.6,64,0,4,1,1,4,6,6
8.0,10.0,0,1,39.0,3.3,67,1,4,1,1,4,6,7
5.0,6.0,0,1,33.0,3.7,67,1,3,0,1,4,6,6
4.0,7.0,0,1,42.0,3.7,66,1,3,1,1,4,6,8
7.0,7.0,0,3,41.0,3.0,67,1,4,1,1,3,6,7
7.0,5.0,0,1,33.0,3.6,69,1,3,1,1,4,6,6
1.0,2.0,0,1,34.0,3.3,56,0,3,0,0,4,6,6
4.0,3.0,0,3,43.0,2.5,56,0,4,1,1,3,6,7
9.0,9.0,0,3,37.0,3.7,69,1,3,1,1,3,6,7
9.0,10.0,0,3,40.0,2.7,67,1,3,1,1,3,6,6
9.0,8.0,0,3,35.0,3.0,64,1,4,0,1,3,5,5
10.0,10.0,0,3,38.0,3.6,65,1,2,0,1,3,6,7
6.0,7.0,0,3,34.0,3.3,67,1,4,0,1,3,6,6
8.0,6.0,0,1,42.0,3.8,68,1,4,1,1,4,6,8
9.0,7.0,0,1,47.0,2.5,67,1,4,0,1,4,6,8
1.0,2.0,1,4,40.0,3.1,66,1,4,0,1,5,6,7
5.0,5.0,0,1,34.0,2.8,52,1,4,0,1,4,5,5
3.0,5.0,0,3,34.0,3.5,70,1,4,0,1,3,6,6
9.0,8.0,0,3,38.0,3.0,67,1,4,1,1,3,6,6
3.0,3.0,0,3,33.0,3.1,53,0,3,1,1,3,5,5
8.0,7.0,0,3,37.0,2.9,66,1,4,1,1,3,6,6
7.0,6.0,0,3,37.0,3.6,66,1,4,0,1,3,6,7
4.0,4.0,0,2,34.0,3.2,68,1,3,1,1,2,5,5
6.0,6.0,0,4,39.0,3.5,69,1,4,1,1,5,6,7
8.0,8.0,0,1,40.0,3.7,69,1,4,1,1,4,6,8
10.0,10.0,0,4,42.0,3.9,70,1,4,0,1,5,6,8
3.0,3.0,0,2,26.0,3.1,67,1,4,0,1,2,3,3
2.0,1.0,0,1,40.0,3.0,67,1,4,1,1,4,6,7
3.0,5.0,0,4,33.0,3.5,69,1,4,0,1,5,6,6
1.0,1.0,0,2,34.0,3.0,67,1,4,1,1,2,5,5
5.0,4.0,0,2,37.0,2.4,68,0,4,1,1,2,5,5
3.0,1.0,0,3,42.0,3.3,69,1,4,1,1,3,6,8
2.0,3.0,1,5,48.0,3.2,68,1,3,1,1,6,6,8
3.0,4.0,0,6,25.5,2.5,66,1,4,1,1,1,2,2
4.0,5.0,0,1,40.0,3.9,69,1,3,0,1,4,6,8
10.0,8.0,0,1,40.0,4.0,62,1,4,0,1,4,6,8
7.0,9.0,0,3,35.5,3.4,65,1,4,1,1,3,6,6
9.0,10.0,0,3,33.0,3.8,67,1,2,1,1,3,6,6
5.0,7.0,0,1,34.0,3.7,69,1,4,0,1,4,6,6
7.0,9.0,0,3,33.0,3.4,69,1,4,0,1,3,6,6
5.0,5.0,0,1,44.0,3.5,61,1,3,0,1,4,6,8
3.0,2.0,0,3,37.0,2.4,66,1,3,0,1,3,5,5
7.0,8.0,0,3,38.0,3.3,67,1,4,0,1,3,6,7
7.0,6.0,0,1,41.0,3.4,69,1,4,0,1,4,6,8
8.0,7.0,0,1,35.0,3.7,69,1,4,1,1,4,6,7
8.0,7.0,0,5,40.0,3.8,69,1,4,0,1,6,6,8
10.0,10.0,0,3,40.0,2.7,66,0,3,1,1,3,6,6
9.0,9.0,0,1,37.0,3.6,64,1,3,1,1,4,6,7
4.0,7.0,0,3,36.0,2.6,66,1,4,1,1,3,5,5
10.0,10.0,0,1,44.0,3.3,65,1,5,1,1,4,6,8
10.0,8.0,0,4,37.0,3.3,65,1,3,1,1,5,6,6
10.0,9.0,0,3,37.0,3.4,55,0,4,0,1,3,6,7
1.0,3.0,0,3,32.3,2.5,63,1,4,0,1,3,4,4
1.0,1.0,1,1,29.0,3.3,63,1,2,1,1,4,4,4
6.0,5.0,0,1,40.0,2.7,65,1,4,0,1,4,6,6
6.0,5.0,0,3,33.0,3.2,68,1,4,1,1,3,5,5
7.0,7.0,0,3,40.0,3.8,67,1,3,1,1,3,6,8
6.0,5.0,0,3,33.0,2.7,64,1,4,0,1,3,4,4
2.0,2.0,0,5,43.0,3.6,67,1,2,1,1,6,6,8
3.0,9.0,0,1,26.0,2.6,68,0,4,1,0,4,2,2
5.0,4.0,0,3,32.0,3.3,63,1,4,0,1,3,5,5
7.0,6.0,0,4,35.5,3.7,69,1,4,0,1,5,6,7
3.0,10.0,0,3,32.0,3.4,54,0,3,0,1,3,5,5
2.0,2.0,0,3,46.0,2.9,65,1,4,1,1,3,6,8
8.0,6.0,0,1,40.0,3.0,67,1,3,1,1,4,6,7
10.0,10.0,0,1,35.0,3.4,68,1,4,0,1,4,6,6
4.0,10.0,0,5,46.0,2.2,66,1,4,1,1,6,6,7
7.0,9.0,0,1,38.0,3.0,66,1,3,1,1,4,6,6
7.0,4.0,0,4,36.0,3.9,49,1,3,1,1,5,6,7
8.0,7.0,0,2,33.5,3.1,69,1,4,0,1,2,5,5
6.0,3.0,0,3,32.0,3.5,69,1,3,0,1,3,5,5
2.0,3.0,0,3,31.5,3.6,68,1,4,1,1,3,5,5
8.0,8.0,0,4,42.0,3.4,69,1,2,1,1,5,6,8
7.0,6.0,0,1,41.0,3.2,69,1,4,0,1,4,6,7
2.0,4.0,0,4,46.0,3.8,69,1,3,0,1,5,6,8
6.0,6.0,0,1,38.0,3.6,69,1,4,0,1,4,6,7
9.0,8.0,0,3,42.0,3.2,63,1,4,0,1,3,6,8
3.0,2.0,0,1,35.5,3.2,67,0,4,1,1,4,6,6
7.0,9.0,0,3,34.0,3.3,65,0,3,1,1,3,6,6
1.0,4.0,1,3,32.0,2.7,67,1,2,0,1,3,4,4
8.0,4.0,0,3,32.0,3.1,69,1,4,1,1,3,5,5
3.0,2.0,0,3,42.0,3.3,69,1,4,0,1,3,6,8
8.0,8.0,0,5,41.0,4.0,67,1,2,0,1,6,6,8
3.0,5.0,0,3,36.0,2.9,69,1,4,1,1,3,6,6
10.0,9.0,0,3,33.0,3.1,68,1,3,1,1,3,5,5
7.0,9.0,0,6,23.0,2.8,67,1,3,1,1,1,2,2
3.0,4.0,1,3,23.0,3.1,69,1,5,1,1,3,2,2
10.0,10.0,0,3,40.0,3.3,69,1,3,1,1,3,6,7
1.0,2.0,0,3,36.0,3.0,69,1,3,1,1,3,6,6
9.0,9.0,0,3,37.0,3.3,68,1,3,0,1,3,6,6
1.0,2.0,0,5,30.0,2.9,67,1,4,1,1,6,4,4
1.0,2.0,0,1,27.0,2.6,60,0,1,0,0,4,3,3
1.0,1.0,0,1,23.0,2.6,68,1,3,0,1,4,2,2
9.0,7.0,0,4,38.0,2.7,64,1,3,1,1,5,6,6
10.0,10.0,0,2,45.0,3.1,68,1,4,0,1,2,6,8
1.0,4.0,0,3,40.0,2.6,67,1,4,0,1,3,6,6
4.0,4.0,0,1,40.0,3.6,69,1,4,1,1,4,6,8
7.0,7.0,0,1,40.0,3.6,69,1,3,1,1,4,6,8
10.0,10.0,0,3,38.0,2.6,67,0,4,1,1,3,6,6
3.0,3.0,0,5,39.5,3.6,67,1,4,0,1,6,6,8
5.0,2.0,0,4,33.5,3.2,68,1,3,0,1,5,5,5
6.0,6.0,0,3,42.0,3.2,69,1,4,1,1,3,6,8
8.0,8.0,0,3,30.0,3.2,69,1,4,1,1,3,4,4
9.0,9.0,0,2,35.0,3.2,68,1,2,1,1,2,6,6
9.0,8.0,0,1,42.0,3.4,66,1,3,1,1,4,6,8
9.0,10.0,0,1,42.0,4.0,68,1,3,1,1,4,6,8
9.0,9.0,0,4,41.0,2.9,68,1,3,0,1,5,6,7
9.0,7.0,0,5,41.0,3.9,64,1,4,1,1,6,6,8
2.0,2.0,0,1,39.0,3.4,69,1,4,1,1,4,6,7
8.0,8.0,0,1,40.0,3.3,62,1,3,0,1,4,6,7
1.0,1.0,0,3,30.0,3.5,69,1,3,0,1,3,5,5
7.0,5.0,0,5,37.0,3.4,69,1,4,0,1,6,6,7
10.0,10.0,1,4,36.0,3.9,69,1,2,1,1,5,6,7
5.0,5.0,0,1,36.0,3.5,66,1,3,0,1,4,6,7
3.0,4.0,0,3,33.0,2.9,67,1,3,1,1,3,5,5
7.0,8.0,0,3,38.0,3.5,68,1,3,0,1,3,6,7
1.0,1.0,1,5,31.0,3.1,69,1,1,1,1,6,5,5
9.0,8.0,0,4,46.0,3.6,66,1,1,1,1,5,6,8
5.0,6.0,0,1,37.0,2.9,66,1,4,1,1,4,6,6
3.0,3.0,0,3,29.0,2.5,61,1,4,0,0,3,3,3
1.0,1.0,0,5,40.0,3.4,69,1,2,1,1,6,6,7
9.0,10.0,0,3,35.0,3.5,68,1,4,1,1,3,6,6
8.0,9.0,0,3,37.0,2.9,63,1,5,0,1,3,6,6
10.0,10.0,0,4,44.0,3.8,68,1,3,0,1,5,6,8
9.0,10.0,0,3,40.0,3.6,67,1,3,0,1,3,6,8
10.0,10.0,0,5,43.0,3.6,46,1,2,0,1,6,6,8
6.0,6.0,0,1,36.0,3.2,69,1,4,1,1,4,6,6
7.0,7.0,0,5,36.0,3.9,64,1,2,0,1,6,6,7
7.0,8.0,0,1,37.0,3.8,62,1,3,0,1,4,6,7
8.0,8.0,0,1,37.0,3.7,56,1,3,0,1,4,6,7
7.0,8.0,0,3,42.0,3.9,62,1,3,0,1,3,6,8
10.0,9.0,0,5,44.0,3.6,69,1,3,1,1,6,6,8
7.0,5.0,0,1,40.0,3.7,68,1,4,0,1,4,6,8
8.0,8.0,0,2,31.0,3.5,66,1,3,0,1,2,5,5
5.0,2.0,0,1,39.0,3.0,53,1,3,0,1,4,6,6
7.0,7.0,0,1,41.0,3.8,69,1,4,0,1,4,6,8
3.0,1.0,0,4,35.0,3.4,65,1,3,1,1,5,6,6
6.0,5.0,0,3,42.0,3.2,69,1,4,1,1,3,6,8
2.0,2.0,0,3,38.0,2.2,64,1,4,1,1,3,5,5
9.0,10.0,0,1,39.5,2.9,69,1,4,1,1,4,6,6
10.0,10.0,0,6,28.0,3.1,66,1,3,0,1,1,4,4
2.0,3.0,0,1,37.0,3.1,69,1,4,0,1,4,6,6
1.0,3.0,0,3,37.0,2.5,68,1,5,1,1,3,5,5
5.0,7.0,0,5,47.0,3.8,69,1,4,1,1,6,6,8
8.0,8.0,0,3,36.0,3.3,63,1,4,1,1,3,6,6
7.0,7.0,0,4,42.0,3.8,64,1,2,1,1,5,6,8
6.0,6.0,0,5,45.0,3.6,67,1,4,0,1,6,6,8
2.0,2.0,0,3,40.0,2.5,65,1,3,1,1,3,6,6
1.0,3.0,0,1,38.0,2.9,67,1,3,1,1,4,6,6
5.0,4.0,0,5,44.0,3.8,69,1,5,1,1,6,6,8
1.0,2.0,0,2,34.0,3.0,67,1,3,0,1,2,5,5
9.0,8.0,0,1,37.0,4.0,68,1,3,0,1,4,6,8
4.0,3.0,0,5,47.0,3.5,69,1,4,1,1,6,6,8
6.0,5.0,0,6,30.7,1.9,66,1,4,1,0,1,2,2
2.0,4.0,0,4,40.5,3.1,66,1,4,0,1,5,6,7
4.0,6.0,0,1,41.0,3.9,68,1,3,1,1,4,6,8
5.0,8.0,0,3,40.0,3.5,69,1,4,0,1,3,6,8
9.0,10.0,0,1,41.0,3.4,68,1,3,0,1,4,6,8
1.0,1.0,0,1,26.0,3.0,69,1,5,0,0,4,3,3
1.0,1.0,0,3,31.5,3.3,58,0,4,0,1,3,5,5
1.0,4.0,0,1,39.0,3.6,64,1,3,0,1,4,6,7
7.0,7.0,0,2,30.0,3.5,68,1,3,0,1,2,5,5
10.0,10.0,0,3,34.0,3.5,51,1,3,1,1,3,6,6
9.0,8.0,0,4,44.0,3.7,69,1,4,0,1,5,6,8
5.0,3.0,0,1,39.0,3.5,56,1,3,1,1,4,6,7
7.0,9.0,0,5,48.0,3.5,70,1,3,1,1,6,6,8
5.0,5.0,0,1,42.0,3.3,68,1,3,0,1,4,6,8
9.0,9.0,0,2,32.5,2.8,68,1,3,1,1,2,4,4
6.0,7.0,0,1,47.0,3.4,68,1,4,1,1,4,6,8
10.0,7.0,0,4,44.0,3.9,63,1,3,1,1,5,6,8
3.0,2.0,0,2,34.0,2.5,68,1,5,1,1,2,4,4
2.0,2.0,0,1,30.0,3.2,53,1,3,0,1,4,4,4
4.0,6.0,0,1,37.0,3.5,68,1,1,1,1,4,6,7
6.0,4.0,0,3,34.0,3.0,69,1,2,0,1,3,5,5
1.0,1.0,1,3,31.0,3.0,49,0,2,1,0,3,4,4
10.0,10.0,0,3,38.0,3.2,56,0,2,0,1,3,6,7
1.0,4.0,0,3,34.0,3.0,69,1,4,0,0,3,5,5
4.0,6.0,0,4,41.0,3.6,62,1,4,1,1,5,6,8
2.0,3.0,0,5,36.5,3.3,65,1,4,0,1,6,6,6
2.0,1.0,0,5,47.0,3.4,69,1,3,0,1,6,6,8
7.0,6.0,0,1,39.0,3.5,69,1,2,0,1,4,6,7
5.0,8.0,0,3,41.0,2.9,69,1,4,1,1,3,6,7
8.0,7.0,0,3,40.0,2.9,67,1,3,0,1,3,6,7
7.0,8.0,0,1,38.0,3.9,58,1,4,0,1,4,6,8
6.0,6.0,1,6,36.0,2.7,66,1,4,0,1,1,5,5
4.0,3.0,0,1,38.0,3.3,69,1,3,1,1,4,6,7
7.0,8.0,0,4,46.0,3.4,68,1,5,1,1,5,6,8
5.0,6.0,0,3,36.0,2.5,68,1,4,1,1,3,5,5
9.0,9.0,0,3,30.5,3.1,68,1,4,1,1,3,4,4
6.0,3.0,1,3,39.0,3.4,65,1,3,0,1,3,6,7
7.0,8.0,0,3,34.0,3.2,67,1,3,1,1,3,5,5
10.0,10.0,0,1,41.0,3.8,69,1,3,0,1,4,6,8
5.0,2.0,0,4,43.0,3.6,67,1,4,0,1,5,6,8
3.0,1.0,1,1,33.0,3.1,68,1,2,1,1,4,5,5
10.0,9.0,0,1,39.0,3.3,69,1,4,1,1,4,6,7
3.0,3.0,0,2,34.0,2.6,68,1,4,0,1,2,4,4
4.0,1.0,1,2,28.0,3.1,68,1,1,0,1,2,4,4
7.0,7.0,0,4,46.0,3.9,48,1,4,0,1,5,6,8
5.0,5.0,0,3,37.0,3.4,69,1,3,0,1,3,6,7
2.0,2.0,1,3,27.0,2.3,62,1,3,1,1,3,2,2
7.0,6.0,0,5,35.0,3.7,69,1,5,1,1,6,6,7
1.0,2.0,0,4,35.0,3.0,69,1,4,0,1,5,5,5
6.0,7.0,0,4,35.0,3.2,67,1,4,1,1,5,6,6
3.0,5.0,0,3,26.5,2.8,67,1,5,0,1,3,3,3
3.0,4.0,0,1,40.0,2.9,69,1,4,1,1,4,6,7
9.0,9.0,0,3,39.0,3.3,69,1,4,0,1,3,6,7
1.0,1.0,0,1,28.0,3.1,54,0,3,1,0,4,4,4
1.0,1.0,0,6,22.5,2.9,59,1,3,1,1,1,2,2
2.0,7.0,0,4,34.0,3.3,69,1,4,1,0,5,6,6
4.0,7.0,0,1,39.0,3.9,68,1,3,1,1,4,6,8
7.0,9.0,0,4,44.0,3.8,69,1,4,1,1,5,6,8
3.0,4.0,0,3,33.0,3.5,69,1,3,0,1,3,6,6
1.0,1.0,1,4,38.0,2.8,69,1,2,0,1,5,6,6
9.0,8.0,0,4,39.0,3.6,67,1,3,1,1,5,6,7
10.0,10.0,0,3,48.0,3.2,63,1,4,0,1,3,6,8
2.0,4.0,0,1,38.0,2.8,68,1,3,1,0,4,6,6
4.0,5.0,0,5,46.0,3.0,66,1,4,1,1,6,6,8
5.0,6.0,0,1,40.0,3.1,55,1,3,0,1,4,6,7
10.0,10.0,0,4,39.0,3.3,69,1,5,0,1,5,6,7
8.0,8.0,0,1,41.0,3.6,68,1,4,0,1,4,6,8
5.0,3.0,0,4,43.0,3.9,69,1,2,0,1,5,6,8
6.0,6.0,0,1,36.0,3.3,67,1,3,1,1,4,6,6
6.0,7.0,0,3,33.0,2.8,62,0,5,0,1,3,5,5
7.0,9.0,0,2,31.0,2.8,69,1,3,1,1,2,4,4
8.0,6.0,0,1,45.0,3.5,67,1,4,1,1,4,6,8
9.0,8.0,0,5,43.0,3.6,68,1,5,1,1,6,6,8
9.0,8.0,0,5,41.0,3.7,69,1,4,1,1,6,6,8
4.0,4.0,0,4,41.0,3.6,68,1,3,0,1,5,6,8
6.0,6.0,0,4,47.0,3.8,69,1,4,1,1,5,6,8
5.0,5.0,0,2,29.0,3.0,69,1,4,1,1,2,4,4
8.0,8.0,0,1,37.0,3.6,69,1,3,1,1,4,6,7
10.0,10.0,0,6,34.0,2.7,68,1,2,0,1,1,5,5
6.0,4.0,0,5,42.0,3.7,69,1,4,1,1,6,6,8
3.0,7.0,0,1,37.0,3.6,64,1,4,1,1,4,6,7
6.0,9.0,0,1,39.0,3.4,69,1,4,0,1,4,6,7
1.0,1.0,1,3,31.0,2.5,67,0,2,0,0,3,4,4
8.0,8.0,0,1,38.0,3.2,68,1,4,1,1,4,6,7
9.0,10.0,0,3,36.0,3.5,65,1,4,0,1,3,6,7
1.0,1.0,0,3,32.0,3.2,69,1,4,0,1,3,5,5
3.0,5.0,0,3,34.5,3.0,68,1,3,0,1,3,5,5
8.0,10.0,0,3,34.0,3.0,69,1,4,1,1,3,5,5
10.0,10.0,0,4,44.0,3.5,67,1,4,1,1,5,6,8
2.0,1.0,0,1,30.0,3.2,68,1,3,0,0,4,4,4
1.0,1.0,0,3,30.5,3.5,69,1,4,1,1,3,5,5
9.0,8.0,0,1,45.0,2.3,59,0,3,1,1,4,6,7
9.0,9.0,0,5,42.0,3.7,69,1,3,1,1,6,6,8
4.0,1.0,0,3,38.0,2.9,69,1,4,0,1,3,6,6
10.0,10.0,0,1,39.0,4.0,70,1,2,1,1,4,6,8
10.0,10.0,0,1,40.0,3.5,55,1,3,1,1,4,6,8
10.0,10.0,0,4,35.0,4.0,68,1,4,0,1,5,6,7
9.0,7.0,0,4,48.0,3.5,69,1,4,0,1,5,6,8
5.0,6.0,1,4,35.0,3.3,64,0,4,0,1,5,6,6
5.0,7.0,0,4,41.0,3.6,69,1,3,1,1,5,6,8
10.0,9.0,0,3,42.0,3.1,57,1,4,1,1,3,6,7
9.0,5.0,0,4,30.5,2.7,63,0,3,1,1,5,4,4
4.0,5.0,0,4,36.0,3.2,69,1,4,1,1,5,6,6
3.0,3.0,0,1,37.0,3.3,69,1,4,1,1,4,6,6
