sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
0,27,0,1,0,0,1,1,0,388,1
0,40,0,0,0,0,0,2,0,388,0
0,22,2,0,0,0,0,1,1,38,1
0,22,2,1,0,0,0,0,0,166,0
1,26,0,0,0,0,0,1,0,225,1
0,32,0,0,0,0,0,0,0,149,0
0,41,0,0,0,0,0,1,1,388,0
0,30,0,0,0,0,0,8,1,253,1
0,50,1,0,0,0,0,0,0,388,1
0,25,0,0,1,6,1,14,0,388,1
0,20,2,0,0,0,0,0,0,340,1
0,22,2,0,1,0,0,2,0,34,1
1,35,0,0,0,0,0,1,1,388,0
0,36,0,0,0,0,0,9,0,109,1
0,26,0,1,0,0,0,7,0,261,1
0,21,2,0,0,0,0,1,0,166,1
0,25,0,1,0,0,0,9,0,219,1
1,20,2,1,0,0,0,0,0,250,0
0,39,0,1,0,0,0,2,0,265,1
1,54,1,1,0,0,0,0,1,91,0
1,44,0,0,0,0,0,0,1,38,0
0,19,2,0,0,0,0,1,1,38,1
0,30,0,0,0,0,0,1,0,134,0
1,39,0,1,0,0,0,0,0,12,1
0,24,2,1,0,1,2,8,0,143,1
0,30,0,1,0,0,0,0,0,275,0
0,31,0,1,0,0,0,0,1,38,0
1,39,0,1,0,0,0,1,0,289,0
0,43,0,1,0,0,0,1,0,282,0
0,21,2,0,0,0,0,3,0,166,1
0,38,0,1,0,0,0,5,1,253,1
0,34,0,1,0,0,0,0,0,15,0
0,33,0,0,0,0,0,5,0,226,1
0,37,0,0,0,0,0,3,0,250,0
0,42,0,1,0,0,0,1,0,10,1
0,41,0,0,0,1,0,10,0,282,1
0,22,2,0,0,0,0,0,0,378,1
0,33,0,0,0,12,2,28,0,124,1
0,31,0,0,0,0,0,1,1,38,0
1,30,0,0,0,0,0,1,0,77,0
0,31,0,1,0,0,0,13,0,388,1
0,27,0,0,0,0,0,3,0,282,1
0,52,1,1,0,0,0,3,1,38,0
0,33,0,0,0,0,0,19,0,388,1
0,42,0,1,0,0,0,6,0,265,0
1,25,0,1,0,0,0,2,0,388,0
0,30,0,1,0,0,0,1,1,4,0
1,37,0,0,0,0,0,2,1,216,0
0,28,0,1,0,0,0,0,1,119,1
1,24,2,0,0,0,0,0,1,38,0
1,29,0,1,0,1,0,10,0,166,1
0,44,0,1,0,0,0,2,1,38,1
0,32,0,0,0,0,0,3,0,282,1
0,31,0,1,0,0,0,2,1,303,1
0,31,0,0,0,0,0,1,1,190,0
0,59,1,1,0,0,0,1,0,282,1
1,20,2,0,1,0,0,1,0,388,0
1,43,0,1,0,0,0,0,1,91,0
0,38,0,0,1,1,0,9,0,282,1
0,32,0,0,0,0,0,11,0,237,1
0,33,0,0,0,0,0,8,1,26,1
1,31,0,0,0,0,0,0,0,290,1
1,33,0,0,0,0,0,7,0,282,1
0,27,0,0,0,0,0,2,0,340,1
1,20,2,0,0,0,0,0,0,166,0
1,26,0,1,0,0,0,0,1,133,0
1,61,1,0,0,0,0,1,0,327,1
0,52,1,0,0,0,0,13,0,155,1
0,63,1,0,0,0,0,1,0,388,0
1,32,0,0,0,0,0,4,0,388,1
0,29,0,0,0,0,0,1,0,166,0
1,26,0,0,0,0,0,2,1,123,1
0,39,0,1,1,0,0,1,1,389,0
1,30,0,1,0,0,0,3,0,269,1
0,30,0,0,0,0,0,1,0,50,0
0,48,1,1,0,0,0,2,1,38,0
0,22,2,0,0,0,0,1,0,388,0
0,46,1,1,0,0,0,6,0,124,1
0,31,0,1,0,0,0,0,0,105,0
0,25,0,0,0,0,0,1,1,38,1
0,23,2,0,0,0,0,0,0,250,0
1,32,0,0,0,0,0,5,0,13,0
0,52,1,0,0,0,0,2,1,181,0
0,62,1,0,0,0,0,8,0,282,0
0,31,0,0,0,0,0,8,0,388,1
0,28,0,0,0,0,0,6,1,303,1
0,54,1,0,0,0,0,2,0,59,0
0,58,1,0,0,0,0,0,0,274,0
0,78,1,1,0,0,0,1,1,123,1
0,56,1,1,0,0,0,0,0,282,0
0,24,2,0,0,0,0,0,0,59,0
0,22,2,0,0,0,0,1,0,219,1
0,47,1,0,0,0,0,23,1,253,1
0,23,2,0,0,0,0,0,1,38,1
0,57,1,0,0,0,0,1,0,124,0
0,66,1,0,0,0,0,3,0,3,0
0,45,1,1,0,0,0,8,1,380,1
0,37,0,0,0,0,0,2,1,38,1
0,39,0,1,0,0,0,0,0,275,1
0,26,0,0,0,0,0,9,0,109,1
0,45,1,1,0,0,0,2,0,186,0
0,23,2,0,0,0,0,0,0,281,1
0,34,0,0,0,0,0,2,1,38,0
1,23,2,0,0,0,0,1,1,38,0
0,36,0,0,0,0,0,2,1,38,1
0,50,1,1,0,0,0,1,0,321,0
1,37,0,1,0,0,0,0,1,183,0
0,44,0,1,0,0,0,4,1,38,0
1,35,0,0,0,1,0,23,0,155,1
0,24,2,0,0,0,0,5,0,388,1
0,26,0,0,0,0,0,2,0,158,1
0,27,0,0,0,0,0,0,1,79,0
1,28,0,0,0,0,0,0,0,7,0
1,28,0,1,0,0,0,7,0,155,1
0,38,0,0,0,0,0,2,0,124,0
1,28,0,0,0,0,0,1,0,388,0
0,56,1,1,0,0,0,7,0,154,1
0,38,0,0,0,0,0,15,0,282,0
0,28,0,0,0,0,0,2,1,253,0
1,51,1,1,0,0,0,0,1,123,1
0,51,1,1,0,0,0,0,1,38,0
0,36,0,0,0,0,0,1,1,253,1
0,48,1,0,0,0,0,0,0,18,0
0,37,0,1,0,0,0,4,0,388,1
1,30,0,0,0,0,0,2,0,166,0
1,41,0,0,0,0,0,5,1,38,0
0,27,0,0,0,0,0,11,0,307,1
0,37,0,0,0,0,0,0,1,38,0
0,33,0,0,0,0,0,4,0,15,1
0,54,1,0,0,0,0,11,0,162,0
0,23,2,0,0,0,0,2,0,308,0
0,41,0,0,0,0,0,0,1,38,0
0,52,1,1,0,0,0,0,0,60,0
0,43,0,1,0,0,0,13,0,124,1
0,52,1,0,0,0,0,0,0,378,0
0,28,0,1,0,0,0,1,0,388,0
0,30,0,0,0,0,2,11,1,38,1
0,28,0,1,0,0,0,1,0,79,0
0,22,2,0,0,0,0,0,0,219,0
0,30,0,0,0,0,0,4,0,124,0
0,25,0,0,0,0,0,4,0,281,0
0,31,0,1,0,0,0,0,0,59,1
0,37,0,1,0,0,0,0,0,166,1
0,32,0,0,0,1,0,14,0,19,0
0,53,1,1,0,0,0,1,1,38,0
0,28,0,0,0,0,0,25,0,388,1
0,44,0,1,0,0,0,8,1,38,1
0,25,0,0,0,0,0,0,0,166,0
0,22,2,1,0,0,1,1,1,387,1
1,37,0,0,0,0,0,0,1,38,0
1,40,0,0,0,0,0,3,0,124,0
1,31,0,0,0,0,0,0,1,38,0
0,23,2,0,0,0,1,1,0,388,1
1,23,2,1,0,0,4,5,0,388,1
0,24,2,0,0,0,0,0,1,253,0
0,29,0,0,0,0,0,1,1,38,0
0,20,2,0,0,0,0,1,0,65,1
0,30,0,0,0,0,0,2,0,65,1
0,39,0,0,0,0,0,0,0,345,0
0,27,0,0,0,0,0,4,0,388,0
1,37,0,0,0,0,0,2,0,388,0
0,20,2,0,0,0,0,0,0,261,0
0,22,2,0,0,0,1,0,0,250,0
1,52,1,0,0,0,0,0,0,52,0
1,23,2,0,0,0,0,0,0,65,1
1,48,1,0,0,0,0,0,0,12,0
0,25,0,1,0,0,0,0,0,105,0
0,27,0,1,0,0,0,0,0,166,1
0,30,0,0,0,0,0,11,0,363,1
0,22,2,0,0,1,1,3,1,38,1
1,22,2,1,0,0,0,1,0,219,0
1,41,0,0,0,0,0,2,1,44,0
1,25,0,0,0,0,0,0,0,12,0
0,52,1,0,0,0,0,3,0,282,1
0,43,0,0,0,0,0,0,0,149,0
0,37,0,1,0,0,0,3,0,388,0
0,70,1,1,0,0,0,1,1,38,0
0,46,1,1,0,0,0,3,0,388,0
0,21,2,0,0,0,0,0,1,216,1
0,26,0,0,0,0,0,1,1,38,1
0,38,0,0,0,0,0,3,0,77,1
0,34,0,1,0,0,0,5,1,38,0
0,34,0,0,0,0,0,5,1,122,0
0,23,2,1,0,0,0,0,0,12,1
0,34,0,0,0,0,0,5,0,290,1
0,39,0,0,0,0,0,6,0,19,1
0,24,2,0,0,0,0,0,0,136,0
0,58,1,1,0,0,0,2,0,5,0
1,21,2,0,0,0,0,0,1,38,0
0,23,2,0,0,0,1,4,1,253,1
0,62,1,1,0,0,0,0,0,139,0
0,37,0,1,0,0,0,5,0,44,0
0,43,0,0,0,0,0,2,0,166,1
1,32,0,0,0,0,0,5,0,7,0
0,23,2,0,0,0,0,0,0,52,0
0,27,0,0,0,0,0,0,1,38,0
0,44,0,1,0,0,0,0,1,38,1
0,28,0,1,0,0,0,3,1,38,1
1,42,0,1,0,0,0,0,0,282,0
0,24,2,0,0,1,0,9,0,302,1
0,27,0,0,0,0,0,0,0,7,0
0,20,2,0,0,0,0,0,0,162,1
1,51,1,1,0,0,0,0,1,44,0
0,56,1,1,0,0,0,0,1,42,0
0,29,0,0,0,0,0,7,0,388,0
0,20,2,0,0,0,0,0,0,166,1
0,27,0,1,0,0,0,8,0,388,0
0,24,2,0,0,1,0,2,0,58,1
0,53,1,1,0,0,0,36,0,74,1
0,28,0,1,0,0,0,2,1,38,1
0,21,2,0,0,1,0,3,0,166,0
1,36,0,0,0,0,0,0,0,7,0
1,25,0,1,0,0,0,2,1,216,1
1,23,2,0,0,0,0,1,1,213,0
0,28,0,1,0,0,0,1,0,219,0
1,21,2,0,0,0,0,0,0,309,1
0,36,0,1,0,0,0,0,1,380,0
0,24,2,0,0,0,0,0,0,166,0
0,30,0,0,0,0,0,1,0,388,1
0,29,0,0,0,0,0,0,0,12,0
1,30,0,1,0,0,0,0,1,38,0
0,51,1,0,0,0,0,1,1,26,0
0,32,0,0,0,1,0,12,0,388,1
0,23,2,0,0,0,1,1,0,166,0
0,47,1,0,0,0,0,3,0,261,0
0,37,0,1,0,0,0,0,0,160,0
0,19,2,0,0,2,0,2,0,237,1
0,27,0,0,0,0,0,0,1,38,0
0,39,0,0,0,0,0,0,1,38,0
1,21,2,1,0,0,2,0,0,282,0
0,69,1,1,0,0,0,0,1,13,0
0,21,2,1,0,0,0,2,0,388,0
0,26,0,0,0,0,1,6,1,38,1
0,22,2,1,0,0,0,0,0,282,0
1,23,2,0,0,0,0,0,0,124,1
0,49,1,0,0,0,0,3,0,162,0
0,29,0,0,0,0,1,2,1,38,0
1,60,1,1,0,0,0,0,1,38,0
0,23,2,0,2,0,0,3,0,250,1
1,20,2,0,1,0,0,1,0,388,0
0,36,0,0,0,0,0,1,0,156,0
0,30,0,1,0,0,0,0,0,282,0
0,21,2,0,0,1,0,1,0,166,0
0,22,2,1,0,0,0,2,1,253,1
0,21,2,0,0,0,0,4,0,388,1
0,21,2,0,0,0,0,0,0,58,1
0,34,0,1,0,0,0,1,1,38,0
1,50,1,1,0,0,0,1,1,38,1
0,40,0,1,0,0,0,0,0,388,1
0,25,0,0,0,0,0,7,0,339,1
1,53,1,1,0,0,0,1,1,38,0
1,24,2,0,0,0,0,0,0,12,0
0,42,0,0,0,0,0,1,0,388,0
0,28,0,0,0,0,0,1,1,38,0
0,26,0,0,1,1,0,6,0,307,1
0,22,2,0,0,0,0,4,0,166,1
0,21,2,1,0,0,0,3,1,388,0
0,37,0,0,0,0,0,23,0,44,1
0,35,0,0,0,0,0,2,0,281,0
0,53,1,0,0,0,0,2,0,154,0
0,29,0,0,0,0,0,7,0,282,0
0,48,1,1,1,0,0,23,0,155,1
1,52,1,1,0,0,0,0,1,38,0
0,27,0,0,0,0,0,12,0,124,1
0,28,0,0,0,0,0,5,0,388,0
0,33,0,1,0,0,0,3,1,38,0
1,28,0,0,0,0,0,0,0,388,0
0,36,0,0,0,0,0,14,0,344,1
0,29,0,0,1,0,0,2,0,19,0
0,22,2,0,0,0,1,0,1,368,1
0,25,0,1,0,0,0,0,0,302,0
0,56,1,0,0,0,0,5,0,124,0
0,27,0,0,0,0,0,9,0,19,1
0,52,1,1,0,0,0,4,0,166,1
0,32,0,0,0,0,0,3,0,44,0
0,60,1,0,0,0,0,4,0,388,0
0,23,2,0,0,0,0,1,1,128,0
1,39,0,1,0,0,0,0,1,119,0
0,56,1,1,0,0,0,0,1,38,0
1,22,2,0,0,0,0,0,0,250,0
0,53,1,0,0,0,0,11,0,388,0
0,25,0,1,0,0,0,0,1,123,1
0,21,2,0,0,0,0,0,1,38,0
0,22,2,1,0,0,0,0,0,184,0
1,58,1,1,0,0,0,2,1,92,0
0,31,0,0,0,0,0,7,1,19,1
0,22,2,1,0,0,0,1,0,143,1
0,28,0,0,0,0,0,8,0,378,1
0,42,0,0,0,0,0,1,0,388,0
0,20,2,0,0,0,0,0,0,162,1
0,29,0,1,0,0,0,0,1,38,1
0,58,1,0,0,0,0,21,1,388,1
0,22,2,0,0,0,0,3,0,166,0
0,48,1,0,0,0,0,1,1,213,1
0,37,0,1,0,0,0,0,0,78,0
0,57,1,0,0,0,0,1,0,155,1
0,27,0,1,0,0,0,3,1,159,0
0,26,0,0,0,0,0,3,0,59,0
0,24,2,1,0,1,1,3,0,250,1
0,33,0,1,0,0,0,0,0,19,0
0,29,0,0,0,0,0,2,0,388,0
1,24,2,0,0,0,0,3,0,166,1
0,19,2,1,0,0,1,1,0,149,1
0,36,0,1,0,0,0,2,1,38,0
1,24,2,1,0,0,0,0,0,250,0
0,34,0,1,0,0,0,0,1,91,0
0,25,0,0,0,0,0,2,0,388,1
0,20,2,0,1,0,1,1,0,388,1
0,24,2,0,0,0,0,1,1,38,1
0,61,1,1,0,0,0,4,0,388,0
1,50,1,0,0,0,0,3,0,12,0
0,30,0,0,0,0,0,1,1,38,0
0,38,0,0,0,0,0,5,0,281,0
0,24,2,1,0,0,0,0,1,38,0
1,46,1,0,0,0,0,2,0,166,1
0,41,0,1,0,0,0,0,1,38,1
0,20,2,0,0,0,1,0,0,282,1
0,27,0,0,0,0,0,13,1,253,1
0,26,0,0,0,0,0,1,1,38,1
0,29,0,0,0,0,0,3,0,284,1
0,52,1,1,0,0,0,6,0,166,1
0,28,0,1,0,0,0,1,0,3,1
0,55,1,0,0,0,0,5,0,155,1
0,26,0,0,1,1,0,10,0,16,1
0,28,0,0,0,0,0,5,0,265,0
0,63,1,1,0,0,0,2,0,152,0
0,42,0,0,0,0,0,0,0,15,0
0,23,2,0,1,2,2,6,0,124,0
0,54,1,0,0,0,0,28,0,282,1
0,35,0,0,0,0,1,8,0,150,1
1,24,2,0,1,0,0,6,0,388,1
0,54,1,0,0,0,0,2,1,38,0
0,58,1,0,0,0,0,12,1,91,1
0,23,2,1,0,0,1,1,1,303,1
0,35,0,0,0,0,0,1,1,38,0
0,20,2,0,0,0,0,1,0,161,1
0,51,1,1,0,0,0,0,0,149,0
0,24,2,0,0,0,0,0,0,221,0
0,37,0,1,0,0,0,3,0,282,0
0,47,1,1,0,0,0,3,0,121,0
0,34,0,1,0,0,0,4,0,281,1
0,56,1,1,0,0,0,0,0,166,0
0,34,0,0,0,0,0,4,0,55,1
0,59,1,1,0,0,0,1,0,54,1
0,35,0,0,0,0,0,0,0,58,0
0,58,1,0,0,0,0,1,0,261,0
0,29,0,0,0,0,0,2,1,123,0
1,24,2,1,0,0,1,6,0,226,1
0,21,2,1,0,0,4,2,1,26,1
0,50,1,0,0,0,0,5,0,124,1
0,26,0,0,0,0,0,1,0,66,0
1,30,0,1,0,0,0,0,1,123,0
0,29,0,1,0,0,0,0,1,38,1
0,54,1,0,0,0,0,0,1,38,0
0,29,0,0,0,0,0,4,0,143,1
1,59,1,1,0,0,0,0,1,92,0
0,38,0,0,0,0,0,0,0,340,0
0,27,0,1,0,0,0,1,1,214,1
0,26,0,0,0,0,0,7,0,12,1
0,52,1,0,0,0,0,20,0,138,0
0,66,1,0,0,0,0,33,0,78,1
0,27,0,1,0,0,0,2,0,282,0
0,51,1,1,0,0,0,1,1,92,0
0,35,0,1,0,0,0,1,0,388,0
0,52,1,1,0,0,0,4,1,38,0
0,48,1,0,0,0,0,12,0,15,0
1,26,0,0,0,0,0,0,1,38,0
1,48,1,1,0,0,0,0,1,182,0
0,30,0,0,0,0,0,7,1,38,0
0,28,0,0,0,0,0,2,1,38,0
0,33,0,0,0,0,0,2,1,38,0
1,34,0,0,0,0,0,6,0,52,0
0,25,0,0,0,0,0,0,1,253,0
0,59,1,0,0,0,0,10,0,388,1
0,29,0,0,0,0,0,5,0,226,1
0,24,2,1,0,0,0,0,0,282,0
0,48,1,1,0,0,0,1,0,3,1
0,52,1,0,0,0,0,4,1,131,0
0,20,2,0,0,0,0,0,0,284,1
0,25,0,1,0,0,0,4,0,282,1
0,24,2,1,0,0,0,0,0,3,0
0,23,2,1,0,0,0,0,1,38,0
0,27,0,1,0,1,3,6,0,149,0
0,25,0,0,0,1,0,1,1,38,1
0,31,0,0,0,0,0,0,0,359,0
0,25,0,0,0,1,0,6,0,388,1
0,32,0,1,0,0,0,1,0,388,1
0,21,2,1,0,0,0,0,0,166,1
0,37,0,0,0,0,0,1,0,77,0
0,25,0,1,0,0,0,0,0,281,0
0,32,0,0,1,1,0,20,0,388,0
0,35,0,0,0,0,0,0,0,166,0
0,42,0,0,0,0,0,14,0,121,1
0,24,2,1,0,0,1,9,1,380,1
0,21,2,0,0,0,0,0,0,166,1
0,47,1,1,0,0,0,1,1,38,0
0,27,0,0,0,0,0,5,0,7,1
0,43,0,0,0,0,0,2,1,91,1
0,46,1,1,0,0,0,2,0,265,1
0,44,0,0,0,0,0,1,1,299,0
0,23,2,1,0,0,0,2,0,281,0
0,42,0,0,0,0,0,8,0,388,0
0,58,1,0,0,0,0,6,0,155,0
0,26,0,0,0,0,1,3,0,162,0
1,48,1,0,0,0,0,0,0,166,0
0,39,0,0,0,0,0,3,0,166,1
0,21,2,0,0,2,0,3,0,388,1
0,63,1,1,0,0,0,1,1,92,0
0,22,2,0,0,1,0,3,0,388,1
0,50,1,0,0,0,0,3,1,38,0
0,38,0,0,0,0,0,0,0,54,0
0,41,0,1,0,0,0,1,0,320,0
0,28,0,0,8,0,1,16,0,19,1
1,30,0,0,0,0,0,0,1,38,0
0,23,2,0,0,0,0,1,0,4,0
0,25,0,1,0,0,0,2,0,388,1
0,40,0,1,0,0,0,5,0,203,0
0,24,2,0,0,0,0,8,0,281,0
0,27,0,0,0,0,0,5,1,80,1
0,44,0,1,0,0,0,11,1,38,0
1,35,0,0,0,0,0,6,0,388,1
0,42,0,1,0,0,0,0,1,38,0
0,38,0,0,0,0,0,15,0,121,0
0,26,0,0,0,0,0,4,0,281,0
1,25,0,0,0,0,0,0,1,303,0
0,64,1,0,0,0,0,1,0,11,0
1,49,1,1,0,0,0,2,1,123,1
0,50,1,1,0,0,0,5,0,124,1
0,66,1,1,0,0,0,0,1,38,1
1,46,1,1,0,0,0,0,1,38,0
0,30,0,0,0,0,1,5,0,124,1
1,22,2,1,0,0,0,0,1,38,0
0,23,2,1,0,0,0,1,1,388,0
0,30,0,0,0,0,0,0,1,38,1
0,31,0,0,0,0,0,0,1,92,0
0,31,0,0,0,0,0,1,0,388,0
0,25,0,0,0,0,0,0,1,118,0
1,21,2,1,0,0,0,0,0,59,0
0,27,0,0,0,0,0,0,1,38,0
0,20,2,0,0,0,0,0,1,253,1
0,32,0,0,0,0,0,1,0,282,0
1,24,2,1,0,0,1,0,0,59,0
0,20,2,0,1,0,0,1,0,388,0
0,31,0,0,0,0,0,3,1,382,1
0,27,0,0,0,0,0,3,1,38,1
0,40,0,0,0,0,0,0,0,15,0
0,22,2,0,0,0,0,11,0,282,1
1,38,0,0,0,0,0,1,0,307,0
0,36,0,0,0,0,0,1,1,217,1
0,30,0,0,0,0,0,1,1,253,0
0,27,0,1,0,0,0,6,0,388,1
1,59,1,1,0,0,0,0,1,123,0
0,37,0,1,0,0,0,2,1,91,0
0,28,0,0,0,0,0,5,1,149,1
0,38,0,1,0,0,0,0,0,282,0
0,22,2,0,0,0,1,0,0,30,1
0,25,0,0,0,0,0,4,0,164,1
0,51,1,1,0,0,0,0,1,91,0
0,29,0,1,0,0,0,2,1,149,1
0,28,0,0,0,0,0,10,0,124,0
0,55,1,0,0,0,0,9,1,388,1
1,23,2,1,0,0,0,3,0,226,0
1,22,2,0,0,0,0,0,1,135,0
1,19,2,1,0,0,0,2,0,282,1
0,31,0,0,0,0,0,1,1,38,0
0,29,0,0,0,0,0,0,1,91,0
0,61,1,0,0,0,0,15,0,155,1
0,31,0,0,0,0,0,0,1,213,0
0,20,2,0,0,1,1,4,0,388,1
0,26,0,1,0,0,0,3,0,51,1
0,27,0,1,0,0,0,5,1,38,0
0,25,0,1,0,0,0,1,0,15,0
0,23,2,1,0,2,0,3,0,196,1
0,38,0,0,0,0,0,0,0,149,0
0,27,0,0,0,2,1,18,0,155,1
1,35,0,1,0,0,0,0,0,302,1
0,22,2,0,0,0,0,0,0,162,0
1,58,1,0,0,0,0,4,0,221,1
1,57,1,1,0,0,0,0,1,118,1
0,21,2,0,0,0,1,0,0,373,0
1,22,2,0,0,0,0,0,0,166,0
0,30,0,0,0,0,0,0,0,59,0
0,30,0,0,0,0,0,8,0,282,1
1,31,0,0,0,0,0,10,0,124,0
1,45,1,1,0,0,0,1,0,154,0
0,39,0,1,0,0,0,2,0,143,1
0,31,0,0,0,0,0,0,0,282,1
0,22,2,0,0,0,0,1,0,58,1
0,27,0,0,0,0,0,13,0,388,1
0,38,0,1,0,0,0,1,0,78,1
0,31,0,0,0,0,0,23,0,237,1
0,47,1,0,0,0,0,20,0,339,0
0,22,2,0,0,1,0,3,0,388,0
0,35,0,0,0,0,1,1,1,38,1
0,23,2,0,0,0,0,2,1,253,1
0,65,1,0,0,0,0,2,1,386,1
0,35,0,0,0,0,0,0,1,133,0
1,33,0,0,0,0,0,0,0,162,0
0,53,1,1,0,0,0,1,1,38,0
0,52,1,0,0,0,0,0,0,124,0
0,21,2,0,0,0,0,0,0,205,0
0,37,0,0,0,0,0,11,0,19,0
0,30,0,0,0,0,0,4,1,299,1
0,54,1,0,0,0,0,0,0,162,0
1,31,0,0,0,0,0,0,1,38,0
1,59,1,1,0,0,0,2,0,166,0
0,27,0,0,0,0,0,0,1,282,0
0,36,0,0,0,0,0,0,1,38,1
0,46,1,0,0,0,0,17,0,388,1
0,22,2,0,0,0,1,3,0,388,0
1,28,0,1,0,0,0,0,1,92,0
1,34,0,1,0,0,1,15,0,166,1
0,29,0,0,0,0,0,7,0,124,1
0,23,2,0,0,0,1,2,1,38,1
0,27,0,0,0,0,0,3,0,166,0
0,21,2,0,0,0,1,0,0,31,1
0,48,1,1,0,0,0,3,0,166,1
0,31,0,0,0,0,0,5,0,388,0
0,36,0,0,0,1,0,4,1,38,0
0,44,0,0,0,0,0,14,0,154,1
0,53,1,1,0,0,0,2,0,106,0
0,33,0,0,0,0,0,3,1,122,1
0,47,1,1,0,0,0,2,0,282,1
0,57,1,0,0,0,0,20,0,282,1
0,28,0,0,0,0,0,2,1,388,0
0,24,2,0,0,0,0,1,1,38,0
0,44,0,0,0,0,0,1,0,363,0
0,46,1,0,0,0,0,0,0,166,0
0,37,0,0,0,0,0,6,0,67,0
0,26,0,0,0,0,0,10,1,388,1
0,27,0,0,0,1,0,10,0,124,1
0,40,0,1,0,0,0,1,0,197,0
1,60,1,1,0,0,0,9,0,388,1
0,53,1,1,0,0,0,1,0,388,0
0,28,0,0,0,0,0,0,0,154,0
0,23,2,0,0,0,0,0,1,123,0
1,46,1,1,0,0,0,2,0,166,0
0,23,2,0,0,0,0,0,0,143,1
0,50,1,0,0,0,0,18,0,124,1
0,45,1,0,0,0,0,0,1,123,0
0,22,2,0,0,0,0,1,0,388,0
0,26,0,1,0,0,0,1,0,388,1
0,62,1,1,0,0,0,0,0,45,0
0,34,0,1,0,0,0,0,1,92,1
0,24,2,0,0,0,0,1,0,58,0
0,21,2,1,0,0,0,0,1,38,0
0,25,0,1,0,0,0,0,0,148,1
0,68,1,1,0,0,0,0,1,118,0
0,21,2,1,0,0,0,1,0,388,0
1,37,0,0,0,0,0,1,0,166,0
0,22,2,0,0,0,0,0,0,219,0
0,42,0,1,0,0,0,1,0,388,0
0,22,2,1,0,1,1,1,0,388,1
0,45,1,0,0,0,0,0,0,162,1
1,36,0,0,0,0,0,4,0,203,1
0,48,1,0,0,0,0,2,0,145,0
0,23,2,0,0,0,1,6,0,166,1
0,24,2,0,0,0,0,0,0,107,0
0,29,0,0,0,0,0,0,0,166,0
0,24,2,0,0,0,0,0,0,44,0
0,50,1,0,0,0,0,11,0,197,0
0,34,0,0,0,1,0,10,0,388,1
0,23,2,0,0,0,0,0,0,166,0
1,22,2,1,0,0,0,0,1,183,0
0,36,0,0,0,0,0,0,0,67,0
0,30,0,1,0,0,0,22,0,282,1
